Month start date,H7N9,HFMD,Dengue
2013-01-01,0.0,3380.0,0.0
2013-02-01,0.0,9802.0,18.0
2013-03-01,0.0,67642.0,10.0
2013-04-01,165.0,773838.0,138.0
2013-05-01,57.0,679866.0,222.0
2013-06-01,14.0,199802.0,61.0
2013-07-01,8.0,52608.0,419.0
2013-08-01,8.0,18975.0,277.0
2013-09-01,5.0,20371.0,550.0
2013-10-01,2.0,28965.0,183.0
2013-11-01,2.0,15628.0,102.0
2013-12-01,5.0,16510.0,243.0
2014-01-01,94.0,84157.0,453.0
2014-02-01,61.0,378343.0,1213.0
2014-03-01,6.0,415528.0,196.0
2014-04-01,4.0,390055.0,84.0
2014-05-01,2.0,453015.0,154.0
2014-06-01,5.0,228204.0,229.0
2014-07-01,0.0,1658.0,3.0
2014-08-01,1.0,27329.0,377.0
