Month start date,H7N9,HFMD,Dengue
2013-01-01,0.0,1671.0,0.0
2013-02-01,0.0,4149.0,12.0
2013-03-01,1.0,35113.0,16.0
2013-04-01,140.0,777244.0,172.0
2013-05-01,54.0,444342.0,253.0
2013-06-01,14.0,120735.0,77.0
2013-07-01,6.0,31085.0,445.0
2013-08-01,8.0,8440.0,328.0
2013-09-01,3.0,10406.0,608.0
2013-10-01,3.0,15319.0,208.0
2013-11-01,5.0,6682.0,117.0
2013-12-01,5.0,8931.0,265.0
2014-01-01,89.0,49923.0,545.0
2014-02-01,55.0,199550.0,1347.0
2014-03-01,12.0,201493.0,217.0
2014-04-01,2.0,189268.0,114.0
