Month start date,H7N9,HFMD,Dengue
2013-01-01,0.0,3458.0,0.0
2013-02-01,0.0,10129.0,32.0
2013-03-01,0.0,71244.0,25.0
2013-04-01,159.0,809492.0,289.0
2013-05-01,62.0,716051.0,446.0
2013-06-01,9.0,210502.0,125.0
2013-07-01,11.0,55673.0,765.0
2013-08-01,0.0,19863.0,576.0
2013-09-01,6.0,21540.0,1067.0
2013-10-01,7.0,30059.0,334.0
2013-11-01,1.0,16011.0,231.0
2013-12-01,8.0,17442.0,439.0
2014-01-01,96.0,88139.0,930.0
2014-02-01,56.0,398485.0,2303.0
2014-03-01,12.0,436088.0,408.0
2014-04-01,2.0,410721.0,190.0
2014-05-01,8.0,476323.0,331.0
2014-06-01,1.0,240048.0,405.0
2014-07-01,0.0,1799.0,14.0
2014-08-01,0.0,29030.0,699.0
2014-09-01,1.0,60866.0,4712.0
2014-10-01,4.0,81851.0,6157.0
