Month start date,H7N9,HFMD,Dengue
2013-01-01,2.37786379313e-08,0.000674557566603,5.64009939066e-05
2013-02-01,0.000667666315542,0.00145407254002,0.00419478587305
2013-03-01,0.00116562533728,0.0133418281784,0.00439184933504
2013-04-01,0.313805403869,0.587959087467,0.0417904857094
2013-05-01,0.133039590878,0.228595306933,0.0682774987697
2013-06-01,0.024686265048,0.0585181788542,0.0212260293238
2013-07-01,0.027017621028,0.0187508012264,0.109586599135
2013-08-01,0.0140073441895,0.00554264406383,0.0803009081678
2013-09-01,0.00766673471235,0.00441028657031,0.141724736226
2013-10-01,0.0106377537965,0.00565769062127,0.047673702542
2013-11-01,0.00658681155308,0.00234095051073,0.0273008958647
2013-12-01,0.00995779406702,0.00375328036442,0.0622962560786
2014-01-01,0.275878663604,0.0224029328922,0.103997680668
2014-02-01,0.174882701823,0.046598382212,0.287182171312
