Month start date,H7N9,HFMD,Dengue
2013-01-01,1.99452117988e-08,0.000811440277218,9.80257369946e-06
2013-02-01,0.000438814604785,0.00242446880115,0.00154695034318
2013-03-01,0.000903538039697,0.0168741135425,0.00121477010486
2013-04-01,0.358092363538,0.193157847616,0.0135021822537
2013-05-01,0.129594033608,0.170015234781,0.0211716377561
2013-06-01,0.0240599289381,0.0498687568823,0.00610628694759
2013-07-01,0.0251549210658,0.0131651138228,0.0383082300507
2013-08-01,0.0120409443081,0.00470395821221,0.0287401365194
2013-09-01,0.00632863564896,0.00512894776343,0.0515856695765
2013-10-01,0.00916484476675,0.00718628354545,0.0166676645248
2013-11-01,0.00472105157798,0.00390227337696,0.010685163566
2013-12-01,0.00794419780467,0.00412442700601,0.023135409165
2014-01-01,0.227078250796,0.0209501496928,0.0471500863942
2014-02-01,0.134504544753,0.0947244722423,0.110717008667
2014-03-01,0.0274326642533,0.103919700714,0.0184848858285
2014-04-01,0.00763504702178,0.097525539739,0.00825243182066
2014-05-01,0.00863031309054,0.113221176574,0.0161075174562
2014-06-01,0.00452957754471,0.0570259672789,0.0212725944952
2014-07-01,0.000327121418712,0.000415427286313,0.000566692973237
2014-08-01,0.00180905065536,0.0068578825286,0.0343253238598
2014-09-01,0.00385144034356,0.0145366710108,0.233285003269
2014-10-01,0.00575869627789,0.0194601473064,0.297164551855
