Month start date,H7N9,HFMD,Dengue
2013-01-01,0.0,2245.0,0.0
2013-02-01,0.0,6875.0,19.0
2013-03-01,0.0,47925.0,20.0
2013-04-01,137.0,538067.0,147.0
2013-05-01,65.0,475165.0,210.0
2013-06-01,15.0,139378.0,55.0
2013-07-01,10.0,38676.0,459.0
2013-08-01,6.0,13742.0,313.0
2013-09-01,0.0,14021.0,612.0
2013-10-01,3.0,19819.0,187.0
2013-11-01,4.0,10337.0,117.0
2013-12-01,3.0,12416.0,284.0
2014-01-01,101.0,60193.0,535.0
2014-02-01,62.0,266272.0,1268.0
2014-03-01,9.0,294854.0,220.0
2014-04-01,2.0,272182.0,101.0
2014-05-01,3.0,318531.0,182.0
