Month start date,H7N9,HFMD,Dengue
2013-01-01,0.0,2617.0,0.0
2013-02-01,0.0,7725.0,20.0
2013-03-01,0.0,53547.0,12.0
2013-04-01,154.0,616237.0,142.0
2013-05-01,65.0,542539.0,220.0
2013-06-01,10.0,159003.0,64.0
2013-07-01,10.0,41989.0,398.0
2013-08-01,4.0,15065.0,307.0
2013-09-01,5.0,16264.0,531.0
2013-10-01,6.0,23003.0,203.0
2013-11-01,1.0,12525.0,117.0
2013-12-01,2.0,12894.0,263.0
2014-01-01,103.0,67045.0,492.0
2014-02-01,61.0,301980.0,1229.0
2014-03-01,9.0,331621.0,194.0
2014-04-01,2.0,311537.0,109.0
2014-05-01,2.0,360720.0,186.0
2014-06-01,2.0,183164.0,265.0
