Month start date,H7N9,HFMD,Dengue
2013-01-01,0.0,3097.0,0.0
2013-02-01,0.0,9008.0,19.0
2013-03-01,0.0,62410.0,11.0
2013-04-01,160.0,713603.0,147.0
2013-05-01,50.0,628426.0,239.0
2013-06-01,13.0,184291.0,68.0
2013-07-01,12.0,48601.0,406.0
2013-08-01,3.0,17339.0,303.0
2013-09-01,1.0,19102.0,581.0
2013-10-01,2.0,26708.0,169.0
2013-11-01,5.0,14204.0,133.0
2013-12-01,0.0,15326.0,238.0
2014-01-01,100.0,77653.0,509.0
2014-02-01,56.0,350159.0,1224.0
2014-03-01,16.0,384633.0,198.0
2014-04-01,11.0,360140.0,95.0
2014-05-01,7.0,417668.0,183.0
2014-06-01,2.0,210409.0,250.0
2014-07-01,0.0,1422.0,4.0
