Month start date,case count estimate
2013-12-01,40889.0
2014-01-01,90637.0
2014-02-01,45362.0
2014-03-01,123168.0
2014-04-01,167253.0
2014-05-01,414937.0
2014-06-01,510788.0
2014-07-01,379518.0
2014-08-01,182294.0
2014-09-01,32849.0
2014-10-01,237687.0
2014-11-01,229851.0
2014-12-01,140797.0
