Epi week start date,ADD,Dengue,Malaria
2013-01-07,1.0,32.0,25.0
2013-01-14,35.0,19.0,50.0
2013-01-21,81.0,97.0,34.0
2013-01-28,0.0,0.0,0.0
2013-02-04,0.0,0.0,0.0
2013-02-11,11.0,68.0,75.0
2013-02-18,0.0,0.0,0.0
2013-02-25,5.0,16.0,18.0
2013-03-04,0.0,8.0,17.0
2013-03-11,0.0,0.0,0.0
2013-03-18,73.0,11.0,2.0
2013-03-25,0.0,0.0,0.0
2013-04-01,53.0,21.0,33.0
2013-04-08,75.0,78.0,14.0
2013-04-15,0.0,42.0,32.0
2013-04-22,238.0,54.0,36.0
2013-04-29,183.0,6.0,0.0
2013-05-06,150.0,70.0,19.0
2013-05-13,3.0,7.0,14.0
2013-05-20,242.0,81.0,15.0
2013-05-27,69.0,16.0,22.0
2013-06-03,120.0,59.0,35.0
2013-06-10,121.0,185.0,84.0
2013-06-17,93.0,135.0,74.0
2013-06-24,970.0,103.0,75.0
2013-07-01,374.0,123.0,81.0
2013-07-08,165.0,203.0,116.0
2013-07-15,5360.0,382.0,95.0
2013-07-22,2621.0,319.0,67.0
2013-07-29,2854.0,415.0,95.0
2013-08-05,1485.0,304.0,74.0
2013-08-12,874.0,233.0,54.0
2013-08-19,819.0,480.0,119.0
2013-08-26,710.0,368.0,124.0
2013-09-02,1614.0,742.0,102.0
2013-09-09,1876.0,1295.0,100.0
2013-09-16,1855.0,1069.0,121.0
2013-09-23,2319.0,1200.0,73.0
2013-09-30,528.0,805.0,70.0
2013-10-07,140.0,714.0,81.0
2013-10-14,140.0,513.0,118.0
2013-10-21,78.0,588.0,172.0
2013-10-28,161.0,620.0,140.0
2013-11-04,337.0,458.0,62.0
2013-11-11,48.0,285.0,37.0
2013-11-18,482.0,270.0,90.0
2013-11-25,395.0,176.0,126.0
2013-12-02,329.0,98.0,4.0
2013-12-09,247.0,75.0,31.0
2013-12-16,638.0,32.0,19.0
2013-12-23,20.0,16.0,23.0
2013-12-30,278.0,6.0,10.0
2014-01-06,976.0,48.0,65.0
2014-01-13,192.0,24.0,17.0
2014-01-20,248.0,82.0,14.0
2014-01-27,253.0,0.0,0.0
2014-02-03,139.0,21.0,55.0
2014-02-10,1.0,21.0,0.0
2014-02-17,61.0,12.0,16.0
2014-02-24,169.0,49.0,58.0
2014-03-03,157.0,16.0,30.0
2014-03-10,122.0,10.0,0.0
2014-03-17,63.0,21.0,3.0
2014-03-24,0.0,0.0,0.0
2014-03-31,61.0,96.0,55.0
2014-04-07,22.0,70.0,75.0
2014-04-14,131.0,28.0,26.0
2014-04-21,44.0,129.0,73.0
2014-04-28,19.0,2.0,6.0
2014-05-05,15.0,16.0,38.0
2014-05-12,84.0,48.0,62.0
2014-05-19,65.0,60.0,57.0
2014-05-26,37.0,72.0,14.0
2014-06-02,43.0,22.0,18.0
2014-06-09,42.0,13.0,80.0
2014-06-16,80.0,67.0,69.0
2014-06-23,63.0,152.0,224.0
2014-06-30,375.0,148.0,139.0
2014-07-07,61.0,109.0,89.0
2014-07-14,258.0,130.0,134.0
2014-07-21,247.0,166.0,77.0
2014-07-28,128.0,43.0,64.0
2014-08-04,25.0,40.0,71.0
