Epi week start date,ADD,Dengue,Malaria
2013-01-07,4.0,29.0,13.0
2013-01-14,37.0,47.0,37.0
2013-01-21,60.0,146.0,23.0
2013-01-28,0.0,0.0,0.0
2013-02-04,0.0,0.0,0.0
2013-02-11,6.0,170.0,33.0
2013-02-18,0.0,0.0,0.0
2013-02-25,4.0,59.0,10.0
2013-03-04,0.0,25.0,12.0
2013-03-11,0.0,0.0,0.0
2013-03-18,92.0,8.0,5.0
2013-03-25,0.0,0.0,0.0
2013-04-01,99.0,26.0,16.0
2013-04-08,53.0,76.0,16.0
2013-04-15,0.0,67.0,4.0
2013-04-22,131.0,60.0,47.0
2013-04-29,154.0,4.0,8.0
2013-05-06,147.0,72.0,15.0
2013-05-13,3.0,8.0,3.0
2013-05-20,193.0,74.0,14.0
2013-05-27,108.0,35.0,11.0
2013-06-03,100.0,57.0,16.0
2013-06-10,101.0,184.0,58.0
2013-06-17,47.0,151.0,72.0
2013-06-24,881.0,75.0,110.0
2013-07-01,273.0,211.0,62.0
2013-07-08,172.0,323.0,45.0
2013-07-15,4795.0,241.0,170.0
2013-07-22,2380.0,240.0,113.0
2013-07-29,2499.0,379.0,126.0
2013-08-05,1103.0,250.0,118.0
2013-08-12,760.0,216.0,77.0
2013-08-19,702.0,421.0,118.0
2013-08-26,649.0,411.0,75.0
2013-09-02,1283.0,730.0,119.0
2013-09-09,1306.0,1135.0,191.0
2013-09-16,1434.0,1011.0,195.0
2013-09-23,1859.0,1043.0,188.0
2013-09-30,384.0,812.0,87.0
2013-10-07,71.0,737.0,73.0
2013-10-14,97.0,580.0,79.0
2013-10-21,89.0,768.0,71.0
2013-10-28,110.0,718.0,83.0
2013-11-04,278.0,460.0,52.0
2013-11-11,23.0,294.0,37.0
2013-11-18,404.0,328.0,65.0
2013-11-25,321.0,308.0,93.0
2013-12-02,248.0,81.0,7.0
2013-12-09,237.0,96.0,29.0
2013-12-16,549.0,16.0,48.0
2013-12-23,21.0,13.0,8.0
2013-12-30,229.0,3.0,2.0
2014-01-06,875.0,35.0,95.0
2014-01-13,157.0,13.0,17.0
2014-01-20,191.0,80.0,19.0
2014-01-27,189.0,0.0,11.0
2014-02-03,148.0,22.0,34.0
2014-02-10,0.0,26.0,0.0
2014-02-17,41.0,10.0,15.0
2014-02-24,128.0,65.0,26.0
2014-03-03,173.0,48.0,28.0
2014-03-10,98.0,8.0,2.0
2014-03-17,53.0,21.0,4.0
2014-03-24,0.0,0.0,0.0
2014-03-31,33.0,170.0,49.0
2014-04-07,29.0,96.0,46.0
