Epi week start date,ADD,Dengue,Malaria
2013-01-07,5.0,33.0,7.0
2013-01-14,23.0,82.0,39.0
2013-01-21,60.0,150.0,35.0
2013-01-28,0.0,0.0,0.0
2013-02-04,0.0,0.0,0.0
2013-02-11,13.0,202.0,32.0
2013-02-18,0.0,0.0,0.0
2013-02-25,4.0,49.0,7.0
2013-03-04,0.0,35.0,9.0
2013-03-11,0.0,0.0,0.0
2013-03-18,84.0,7.0,1.0
2013-03-25,0.0,0.0,0.0
2013-04-01,61.0,43.0,16.0
2013-04-08,36.0,79.0,23.0
2013-04-15,0.0,59.0,10.0
2013-04-22,177.0,60.0,50.0
2013-04-29,121.0,14.0,6.0
2013-05-06,156.0,68.0,28.0
2013-05-13,1.0,11.0,4.0
2013-05-20,167.0,97.0,20.0
2013-05-27,83.0,25.0,13.0
2013-06-03,100.0,93.0,19.0
2013-06-10,83.0,220.0,70.0
2013-06-17,61.0,164.0,64.0
2013-06-24,885.0,104.0,96.0
2013-07-01,310.0,257.0,69.0
2013-07-08,223.0,355.0,61.0
2013-07-15,4721.0,357.0,180.0
2013-07-22,2322.0,283.0,138.0
2013-07-29,2457.0,465.0,134.0
2013-08-05,1104.0,279.0,122.0
2013-08-12,705.0,234.0,96.0
2013-08-19,733.0,550.0,135.0
2013-08-26,638.0,524.0,83.0
2013-09-02,1348.0,863.0,145.0
2013-09-09,1329.0,1222.0,260.0
2013-09-16,1372.0,1137.0,261.0
2013-09-23,1932.0,1185.0,231.0
2013-09-30,374.0,850.0,120.0
2013-10-07,83.0,747.0,104.0
2013-10-14,115.0,637.0,94.0
2013-10-21,134.0,838.0,85.0
2013-10-28,149.0,820.0,106.0
