Epi week start date,ADD,Dengue,Malaria
2013-01-07,8.0,32.0,16.0
2013-01-14,18.0,51.0,38.0
2013-01-21,51.0,117.0,29.0
2013-01-28,0.0,0.0,0.0
2013-02-04,0.0,0.0,0.0
2013-02-11,14.0,156.0,30.0
2013-02-18,0.0,0.0,0.0
2013-02-25,8.0,63.0,1.0
2013-03-04,0.0,23.0,12.0
2013-03-11,0.0,0.0,0.0
2013-03-18,89.0,8.0,6.0
2013-03-25,0.0,0.0,0.0
2013-04-01,55.0,28.0,16.0
2013-04-08,39.0,49.0,24.0
2013-04-15,0.0,66.0,7.0
2013-04-22,91.0,67.0,72.0
2013-04-29,152.0,0.0,5.0
2013-05-06,125.0,88.0,43.0
2013-05-13,2.0,38.0,21.0
2013-05-20,241.0,81.0,23.0
2013-05-27,94.0,58.0,30.0
2013-06-03,104.0,135.0,60.0
2013-06-10,94.0,247.0,86.0
2013-06-17,40.0,175.0,100.0
2013-06-24,923.0,81.0,92.0
2013-07-01,244.0,226.0,64.0
2013-07-08,162.0,295.0,48.0
2013-07-15,5233.0,222.0,193.0
2013-07-22,2315.0,244.0,158.0
2013-07-29,2470.0,430.0,128.0
2013-08-05,1216.0,110.0,99.0
2013-08-12,766.0,227.0,92.0
2013-08-19,531.0,528.0,135.0
2013-08-26,563.0,432.0,59.0
2013-09-02,1487.0,650.0,131.0
