Epi week start date,ADD,Dengue,Malaria
2013-01-07,1.0,30.0,14.0
2013-01-14,24.0,26.0,47.0
2013-01-21,56.0,107.0,33.0
2013-01-28,0.0,0.0,0.0
2013-02-04,0.0,0.0,0.0
2013-02-11,15.0,138.0,48.0
2013-02-18,0.0,0.0,0.0
2013-02-25,3.0,16.0,12.0
2013-03-04,0.0,9.0,8.0
2013-03-11,0.0,0.0,0.0
2013-03-18,81.0,4.0,2.0
2013-03-25,0.0,0.0,0.0
2013-04-01,36.0,19.0,15.0
2013-04-08,32.0,70.0,13.0
2013-04-15,0.0,64.0,6.0
2013-04-22,126.0,52.0,42.0
2013-04-29,169.0,2.0,2.0
2013-05-06,131.0,57.0,28.0
2013-05-13,4.0,4.0,21.0
2013-05-20,204.0,89.0,24.0
2013-05-27,50.0,21.0,45.0
2013-06-03,97.0,50.0,51.0
2013-06-10,62.0,150.0,119.0
2013-06-17,53.0,125.0,112.0
2013-06-24,751.0,90.0,117.0
2013-07-01,302.0,165.0,92.0
2013-07-08,125.0,266.0,73.0
2013-07-15,4715.0,363.0,96.0
2013-07-22,2417.0,269.0,104.0
2013-07-29,2588.0,413.0,101.0
2013-08-05,1030.0,287.0,66.0
2013-08-12,659.0,263.0,58.0
2013-08-19,610.0,421.0,121.0
2013-08-26,681.0,354.0,83.0
2013-09-02,1436.0,745.0,88.0
2013-09-09,1639.0,1331.0,73.0
2013-09-16,1554.0,1023.0,159.0
2013-09-23,2192.0,1252.0,62.0
2013-09-30,442.0,879.0,54.0
2013-10-07,103.0,715.0,56.0
2013-10-14,87.0,485.0,110.0
2013-10-21,80.0,681.0,79.0
2013-10-28,128.0,684.0,104.0
2013-11-04,365.0,412.0,38.0
2013-11-11,38.0,286.0,25.0
2013-11-18,414.0,261.0,77.0
2013-11-25,291.0,239.0,119.0
2013-12-02,258.0,107.0,6.0
2013-12-09,216.0,86.0,22.0
2013-12-16,489.0,16.0,23.0
2013-12-23,6.0,11.0,32.0
2013-12-30,253.0,4.0,7.0
2014-01-06,820.0,26.0,83.0
2014-01-13,178.0,37.0,16.0
2014-01-20,197.0,101.0,11.0
2014-01-27,183.0,0.0,0.0
2014-02-03,88.0,10.0,39.0
2014-02-10,0.0,16.0,0.0
2014-02-17,54.0,14.0,18.0
2014-02-24,150.0,84.0,22.0
2014-03-03,141.0,25.0,46.0
2014-03-10,91.0,7.0,2.0
2014-03-17,43.0,19.0,1.0
2014-03-24,0.0,0.0,0.0
2014-03-31,53.0,157.0,50.0
2014-04-07,29.0,75.0,56.0
2014-04-14,117.0,27.0,19.0
2014-04-21,53.0,157.0,55.0
2014-04-28,18.0,4.0,5.0
2014-05-05,18.0,32.0,18.0
2014-05-12,95.0,80.0,42.0
2014-05-19,72.0,82.0,42.0
2014-05-26,19.0,86.0,9.0
