Epi week start date,ADD,Dengue,Malaria
2013-01-07,3.0,20.0,13.0
2013-01-14,37.0,79.0,31.0
2013-01-21,97.0,99.0,32.0
2013-01-28,0.0,0.0,0.0
2013-02-04,0.0,0.0,0.0
2013-02-11,23.0,152.0,33.0
2013-02-18,0.0,0.0,0.0
2013-02-25,10.0,30.0,8.0
2013-03-04,0.0,17.0,15.0
2013-03-11,0.0,0.0,0.0
2013-03-18,65.0,9.0,6.0
2013-03-25,0.0,0.0,0.0
2013-04-01,38.0,25.0,23.0
2013-04-08,50.0,53.0,16.0
2013-04-15,0.0,66.0,4.0
2013-04-22,83.0,49.0,81.0
2013-04-29,120.0,0.0,9.0
2013-05-06,90.0,91.0,42.0
2013-05-13,3.0,31.0,19.0
2013-05-20,177.0,81.0,14.0
2013-05-27,78.0,27.0,32.0
2013-06-03,100.0,85.0,63.0
2013-06-10,99.0,190.0,111.0
2013-06-17,54.0,131.0,111.0
2013-06-24,779.0,98.0,56.0
2013-07-01,269.0,207.0,54.0
2013-07-08,198.0,261.0,69.0
2013-07-15,4375.0,424.0,144.0
2013-07-22,2218.0,366.0,130.0
2013-07-29,2225.0,542.0,81.0
2013-08-05,939.0,237.0,55.0
2013-08-12,609.0,273.0,75.0
2013-08-19,493.0,574.0,111.0
2013-08-26,398.0,551.0,56.0
2013-09-02,1152.0,863.0,90.0
2013-09-09,1307.0,1255.0,152.0
2013-09-16,1198.0,1081.0,173.0
2013-09-23,1641.0,1299.0,99.0
