Epi week start date,ADD,Dengue,Malaria
2013-01-07,5.0,19.0,19.0
2013-01-14,37.0,12.0,47.0
2013-01-21,105.0,97.0,37.0
2013-01-28,0.0,0.0,0.0
2013-02-04,0.0,0.0,0.0
2013-02-11,9.0,44.0,72.0
2013-02-18,0.0,0.0,0.0
2013-02-25,11.0,14.0,24.0
2013-03-04,0.0,5.0,13.0
2013-03-11,0.0,0.0,0.0
2013-03-18,96.0,7.0,6.0
2013-03-25,0.0,0.0,0.0
2013-04-01,41.0,15.0,28.0
2013-04-08,88.0,50.0,18.0
2013-04-15,0.0,35.0,22.0
2013-04-22,286.0,56.0,31.0
2013-04-29,172.0,12.0,1.0
2013-05-06,163.0,71.0,11.0
2013-05-13,2.0,7.0,6.0
2013-05-20,255.0,60.0,21.0
2013-05-27,95.0,18.0,14.0
2013-06-03,166.0,62.0,18.0
2013-06-10,107.0,142.0,73.0
2013-06-17,96.0,110.0,51.0
2013-06-24,1017.0,109.0,54.0
2013-07-01,367.0,120.0,77.0
2013-07-08,175.0,164.0,125.0
2013-07-15,5555.0,381.0,51.0
2013-07-22,2776.0,312.0,56.0
2013-07-29,2892.0,373.0,102.0
2013-08-05,1477.0,310.0,55.0
2013-08-12,875.0,220.0,56.0
2013-08-19,830.0,419.0,111.0
2013-08-26,824.0,326.0,90.0
2013-09-02,1577.0,639.0,121.0
2013-09-09,2014.0,1258.0,98.0
2013-09-16,1940.0,1085.0,110.0
2013-09-23,2458.0,1156.0,73.0
2013-09-30,496.0,817.0,68.0
2013-10-07,141.0,655.0,73.0
2013-10-14,131.0,436.0,107.0
2013-10-21,104.0,572.0,135.0
2013-10-28,149.0,523.0,131.0
2013-11-04,336.0,438.0,52.0
2013-11-11,40.0,237.0,32.0
2013-11-18,477.0,256.0,70.0
2013-11-25,402.0,193.0,103.0
2013-12-02,358.0,96.0,3.0
2013-12-09,260.0,81.0,34.0
2013-12-16,661.0,38.0,13.0
2013-12-23,16.0,12.0,19.0
2013-12-30,313.0,1.0,10.0
2014-01-06,1110.0,39.0,63.0
2014-01-13,188.0,32.0,12.0
2014-01-20,258.0,69.0,8.0
2014-01-27,276.0,0.0,0.0
2014-02-03,147.0,15.0,44.0
2014-02-10,0.0,28.0,0.0
2014-02-17,71.0,4.0,7.0
2014-02-24,167.0,37.0,38.0
2014-03-03,189.0,17.0,30.0
2014-03-10,122.0,15.0,0.0
2014-03-17,64.0,23.0,3.0
2014-03-24,0.0,0.0,0.0
2014-03-31,66.0,71.0,72.0
2014-04-07,41.0,52.0,58.0
2014-04-14,156.0,26.0,25.0
2014-04-21,52.0,133.0,62.0
2014-04-28,17.0,3.0,3.0
2014-05-05,13.0,10.0,35.0
2014-05-12,90.0,30.0,61.0
2014-05-19,77.0,55.0,42.0
2014-05-26,35.0,59.0,21.0
2014-06-02,57.0,18.0,25.0
2014-06-09,46.0,10.0,64.0
2014-06-16,97.0,62.0,58.0
2014-06-23,69.0,129.0,215.0
2014-06-30,318.0,125.0,129.0
2014-07-07,76.0,69.0,76.0
2014-07-14,274.0,123.0,84.0
2014-07-21,277.0,162.0,69.0
2014-07-28,138.0,25.0,65.0
2014-08-04,19.0,33.0,75.0
2014-08-11,257.0,89.0,58.0
2014-08-18,404.0,148.0,92.0
2014-08-25,507.0,165.0,77.0
2014-09-01,268.0,202.0,59.0
2014-09-08,424.0,244.0,111.0
2014-09-15,264.0,329.0,128.0
2014-09-22,528.0,304.0,96.0
2014-09-29,143.0,179.0,33.0
2014-10-06,97.0,261.0,99.0
2014-10-13,224.0,292.0,120.0
2014-10-20,383.0,231.0,94.0
2014-10-27,371.0,333.0,244.0
2014-11-03,565.0,717.0,247.0
2014-11-10,475.0,514.0,179.0
2014-11-17,281.0,401.0,187.0
2014-11-24,280.0,270.0,128.0
2014-12-01,588.0,152.0,70.0
2014-12-08,104.0,115.0,112.0
