Epi week start date,ADD,Dengue,Malaria
2013-01-07,7.0,18.0,15.0
2013-01-14,33.0,15.0,57.0
2013-01-21,78.0,107.0,34.0
2013-01-28,0.0,0.0,0.0
2013-02-04,0.0,0.0,0.0
2013-02-11,13.0,45.0,76.0
2013-02-18,0.0,0.0,0.0
2013-02-25,4.0,14.0,22.0
2013-03-04,0.0,5.0,16.0
2013-03-11,0.0,0.0,0.0
2013-03-18,101.0,7.0,2.0
2013-03-25,0.0,0.0,0.0
2013-04-01,43.0,13.0,28.0
2013-04-08,66.0,53.0,22.0
2013-04-15,0.0,35.0,22.0
2013-04-22,280.0,66.0,22.0
2013-04-29,161.0,9.0,0.0
2013-05-06,193.0,99.0,12.0
2013-05-13,3.0,6.0,4.0
2013-05-20,243.0,72.0,13.0
2013-05-27,112.0,27.0,14.0
2013-06-03,127.0,56.0,23.0
2013-06-10,100.0,153.0,64.0
2013-06-17,90.0,119.0,56.0
2013-06-24,1113.0,90.0,63.0
2013-07-01,416.0,136.0,68.0
2013-07-08,186.0,179.0,109.0
2013-07-15,5733.0,369.0,74.0
2013-07-22,2718.0,306.0,64.0
2013-07-29,2966.0,407.0,101.0
2013-08-05,1599.0,311.0,47.0
2013-08-12,929.0,193.0,58.0
2013-08-19,838.0,406.0,92.0
2013-08-26,784.0,357.0,108.0
2013-09-02,1545.0,677.0,128.0
2013-09-09,1969.0,1237.0,69.0
2013-09-16,1862.0,1052.0,110.0
2013-09-23,2443.0,1201.0,66.0
2013-09-30,460.0,769.0,69.0
2013-10-07,153.0,676.0,67.0
2013-10-14,154.0,438.0,108.0
2013-10-21,85.0,553.0,155.0
2013-10-28,155.0,543.0,147.0
2013-11-04,377.0,453.0,71.0
2013-11-11,39.0,239.0,32.0
2013-11-18,507.0,257.0,83.0
2013-11-25,356.0,153.0,118.0
2013-12-02,329.0,76.0,4.0
2013-12-09,278.0,62.0,37.0
2013-12-16,644.0,38.0,9.0
2013-12-23,23.0,26.0,18.0
2013-12-30,288.0,2.0,9.0
2014-01-06,1144.0,38.0,58.0
2014-01-13,212.0,25.0,9.0
2014-01-20,227.0,81.0,11.0
2014-01-27,286.0,0.0,0.0
2014-02-03,171.0,11.0,42.0
2014-02-10,0.0,21.0,0.0
2014-02-17,84.0,10.0,14.0
2014-02-24,168.0,36.0,39.0
2014-03-03,200.0,17.0,31.0
2014-03-10,119.0,10.0,0.0
2014-03-17,49.0,14.0,3.0
2014-03-24,0.0,0.0,0.0
2014-03-31,45.0,85.0,65.0
2014-04-07,37.0,68.0,56.0
2014-04-14,128.0,22.0,25.0
2014-04-21,49.0,147.0,53.0
2014-04-28,18.0,1.0,2.0
2014-05-05,13.0,13.0,31.0
2014-05-12,91.0,34.0,61.0
2014-05-19,69.0,48.0,56.0
2014-05-26,25.0,56.0,17.0
2014-06-02,56.0,17.0,20.0
2014-06-09,33.0,9.0,61.0
2014-06-16,79.0,58.0,66.0
2014-06-23,54.0,104.0,228.0
2014-06-30,357.0,136.0,123.0
2014-07-07,59.0,98.0,67.0
2014-07-14,232.0,99.0,121.0
2014-07-21,283.0,167.0,74.0
2014-07-28,132.0,34.0,61.0
2014-08-04,24.0,40.0,73.0
2014-08-11,213.0,91.0,58.0
2014-08-18,362.0,149.0,86.0
2014-08-25,506.0,187.0,81.0
2014-09-01,264.0,189.0,36.0
2014-09-08,426.0,224.0,93.0
2014-09-15,224.0,358.0,113.0
2014-09-22,596.0,322.0,113.0
2014-09-29,148.0,187.0,30.0
2014-10-06,109.0,274.0,103.0
2014-10-13,210.0,241.0,169.0
2014-10-20,375.0,256.0,91.0
2014-10-27,397.0,388.0,227.0
2014-11-03,551.0,690.0,312.0
2014-11-10,434.0,497.0,151.0
2014-11-17,260.0,362.0,186.0
2014-11-24,334.0,289.0,145.0
