Epi week start date,ADD,Dengue,Malaria
2013-01-07,3.0,19.0,14.0
2013-01-14,25.0,18.0,62.0
2013-01-21,101.0,112.0,38.0
2013-01-28,0.0,0.0,0.0
2013-02-04,0.0,0.0,0.0
2013-02-11,17.0,50.0,80.0
2013-02-18,0.0,0.0,0.0
2013-02-25,7.0,16.0,25.0
2013-03-04,0.0,3.0,15.0
2013-03-11,0.0,0.0,0.0
2013-03-18,102.0,8.0,4.0
2013-03-25,0.0,0.0,0.0
2013-04-01,46.0,13.0,29.0
2013-04-08,88.0,87.0,9.0
2013-04-15,0.0,42.0,15.0
2013-04-22,251.0,57.0,25.0
2013-04-29,211.0,13.0,1.0
2013-05-06,194.0,72.0,18.0
2013-05-13,5.0,7.0,7.0
2013-05-20,258.0,60.0,14.0
2013-05-27,99.0,28.0,7.0
2013-06-03,126.0,62.0,14.0
2013-06-10,121.0,146.0,64.0
2013-06-17,111.0,100.0,51.0
2013-06-24,1103.0,109.0,74.0
2013-07-01,391.0,142.0,92.0
2013-07-08,151.0,175.0,124.0
2013-07-15,5710.0,417.0,77.0
2013-07-22,2813.0,379.0,42.0
2013-07-29,2971.0,354.0,105.0
2013-08-05,1667.0,292.0,46.0
2013-08-12,857.0,225.0,66.0
2013-08-19,909.0,477.0,106.0
2013-08-26,731.0,355.0,119.0
2013-09-02,1586.0,705.0,99.0
2013-09-09,2022.0,1326.0,90.0
2013-09-16,1927.0,1080.0,106.0
2013-09-23,2528.0,1277.0,95.0
2013-09-30,517.0,915.0,58.0
2013-10-07,134.0,688.0,67.0
2013-10-14,148.0,421.0,129.0
2013-10-21,107.0,595.0,175.0
2013-10-28,160.0,567.0,159.0
2013-11-04,369.0,442.0,72.0
2013-11-11,47.0,259.0,40.0
2013-11-18,485.0,278.0,89.0
2013-11-25,378.0,194.0,132.0
2013-12-02,324.0,102.0,3.0
2013-12-09,257.0,70.0,37.0
2013-12-16,702.0,51.0,6.0
2013-12-23,22.0,16.0,20.0
2013-12-30,308.0,2.0,11.0
2014-01-06,1143.0,60.0,68.0
2014-01-13,208.0,39.0,11.0
2014-01-20,261.0,89.0,9.0
2014-01-27,248.0,0.0,1.0
2014-02-03,158.0,9.0,42.0
2014-02-10,0.0,30.0,0.0
2014-02-17,70.0,4.0,9.0
2014-02-24,139.0,35.0,39.0
2014-03-03,211.0,10.0,29.0
2014-03-10,136.0,12.0,0.0
2014-03-17,56.0,10.0,1.0
2014-03-24,0.0,0.0,0.0
2014-03-31,45.0,74.0,85.0
2014-04-07,35.0,54.0,70.0
2014-04-14,134.0,31.0,29.0
2014-04-21,43.0,124.0,62.0
2014-04-28,18.0,1.0,3.0
2014-05-05,15.0,11.0,35.0
2014-05-12,91.0,32.0,61.0
2014-05-19,87.0,67.0,69.0
2014-05-26,27.0,68.0,15.0
2014-06-02,59.0,25.0,25.0
2014-06-09,43.0,10.0,69.0
2014-06-16,68.0,54.0,67.0
2014-06-23,72.0,128.0,232.0
2014-06-30,334.0,114.0,126.0
2014-07-07,48.0,106.0,79.0
2014-07-14,247.0,130.0,130.0
2014-07-21,280.0,169.0,71.0
2014-07-28,110.0,24.0,56.0
2014-08-04,22.0,33.0,78.0
2014-08-11,238.0,124.0,62.0
2014-08-18,374.0,138.0,85.0
2014-08-25,544.0,157.0,85.0
2014-09-01,285.0,195.0,48.0
2014-09-08,431.0,270.0,114.0
2014-09-15,216.0,355.0,99.0
2014-09-22,597.0,331.0,95.0
2014-09-29,132.0,216.0,25.0
2014-10-06,117.0,283.0,109.0
2014-10-13,221.0,286.0,147.0
2014-10-20,386.0,265.0,84.0
2014-10-27,383.0,377.0,226.0
2014-11-03,574.0,727.0,310.0
