Tuple,count
"('mandarmani', ('India', u'West Bengal'), '2013-01-21')",1
"('find', ('India', u'Uttar Pradesh'), '2013-06-03')",1
"('season', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('note', ('India', u'Uttar Pradesh'), '2013-05-27')",1
"('whopping', ('India', u'Tamil Nadu'), '2013-04-08')",1
"('obscene', ('India', u'Madhya Pradesh'), '2013-06-10')",1
"('rename', ('India', u'Karnataka'), '2013-04-22')",1
"('government', ('India', u'Madhya Pradesh'), '2013-02-25')",1
"('aej', ('India', u'Maharashtra'), '2013-02-11')",1
"('hire', ('India', u'Karnataka'), '2013-06-10')",1
"('producer', ('India', u'Punjab'), '2013-04-08')",1
"('village', ('India', u'Uttar Pradesh'), '2013-05-06')",1
"('cease', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('fall', ('India', u'Karnataka'), '2013-04-22')",1
"('today', ('India', u'Maharashtra'), '2013-01-21')",1
"('finding', ('India', u'Madhya Pradesh'), '2013-03-04')",1
"('alarm', ('India', u'Kerala'), '2013-06-10')",1
"('aggrieved', ('India', u'Karnataka'), '2013-05-20')",1
"('team', ('India', u'Uttar Pradesh'), '2013-05-27')",1
"('service', ('India', u'Maharashtra'), '2013-02-11')",1
"('find', ('India', u'Karnataka'), '2013-04-22')",1
"('vomit', ('India', u'Punjab'), '2013-04-08')",1
"('indicate', ('India', u'Kerala'), '2013-05-27')",1
"('organize', ('India', u'Andhra Pradesh'), '2013-01-07')",1
"('control', ('India', u'Kerala'), '2013-06-03')",1
"('time', ('India', u'Maharashtra'), '2013-05-20')",1
"('build', ('India', u'Kerala'), '2013-05-06')",1
"('emailed', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('jankars', ('India', u'Kerala'), '2013-06-03')",1
"('effort', ('India', u'Karnataka'), '2013-05-20')",1
"('may', ('India', u'Maharashtra'), '2013-04-15')",1
"('district', ('India', u'Uttar Pradesh'), '2013-05-27')",1
"('national', ('India', u'Karnataka'), '2013-06-10')",2
"('president', ('India', u'Kerala'), '2013-05-06')",1
"('magic', ('India', u'Karnataka'), '2013-06-10')",1
"('teck', ('India', u'Madhya Pradesh'), '2013-04-01')",1
"('metro', ('India', u'West Bengal'), '2013-05-06')",1
"('get', ('India', u'Uttar Pradesh'), '2013-06-03')",1
"('success', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('day', ('India', u'Karnataka'), '2013-04-22')",1
"('due', ('India', u'Delhi'), '2013-05-20')",1
"('hear', ('India', u'Delhi'), '2013-05-20')",1
"('top', ('India', u'Punjab'), '2013-04-08')",1
"('news', ('India', u'Rajasthan'), '2013-04-22')",1
"('guaranteed', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('larva', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('anil', ('India', u'Punjab'), '2013-06-10')",1
"('corporation', ('India', u'Andhra Pradesh'), '2013-06-10')",1
"('run', ('India', u'Karnataka'), '2013-06-10')",2
"('salundi', ('India', u'Karnataka'), '2013-06-03')",2
"('valiyangadi', ('India', u'Kerala'), '2013-06-10')",1
"('perceptual', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('source', ('India', u'Kerala'), '2013-05-27')",2
"('struggling', ('India', u'Karnataka'), '2013-04-22')",1
"('tell', ('India', u'Madhya Pradesh'), '2013-06-10')",1
"('deputy', ('India', u'Haryana'), '2013-05-06')",1
"('kakkilya', ('India', u'Karnataka'), '2013-05-27')",1
"('asian', ('India', u'Madhya Pradesh'), '2013-05-06')",1
"('due', ('India', u'Uttar Pradesh'), '2013-05-20')",2
"('australia', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('number', ('India', u'Kerala'), '2013-06-10')",2
"('saudi', ('India', 'Kerala'), '2013-05-13')",1
"('group', ('India', u'Kerala'), '2013-05-06')",1
"('data', ('India', u'Kerala'), '2013-06-10')",1
"('college', ('India', u'Karnataka'), '2013-06-03')",1
"('buy', ('India', u'Karnataka'), '2013-04-22')",1
"('interest', ('India', u'Madhya Pradesh'), '2013-06-10')",1
"('businessman', ('India', u'Karnataka'), '2013-06-10')",1
"('possible', ('India', u'Kerala'), '2013-05-27')",1
"('contaminated', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('say', ('India', u'Uttar Pradesh'), '2013-05-06')",1
"('shopkeeper', ('India', u'Punjab'), '2013-06-10')",1
"('inboxer', ('India', u'Maharashtra'), '2013-01-21')",1
"('officer', ('India', u'Goa'), '2013-05-27')",1
"('bindukumari', ('India', u'Kerala'), '2013-05-27')",1
"('skill', ('India', u'Kerala'), '2013-05-06')",1
"('add', ('India', u'Punjab'), '2013-04-08')",1
"('coil', ('India', u'Chhattisgarh'), '2013-03-18')",1
"('national', ('India', u'Madhya Pradesh'), '2013-05-06')",1
"('enforce', ('India', u'Karnataka'), '2013-06-10')",1
"('larva', ('India', u'Haryana'), '2013-05-06')",1
"('failureas', ('India', u'Delhi'), '2013-05-20')",1
"('stir', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('high', ('India', u'Tamil Nadu'), '2013-01-07')",1
"('clash', ('India', u'Karnataka'), '2013-04-22')",1
"('priyanka', ('India', u'Karnataka'), '2013-06-10')",1
"('design', ('India', u'Maharashtra'), '2013-02-11')",1
"('approach', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('coalgate', ('India', u'Kerala'), '2013-05-06')",1
"('severity', ('India', u'Madhya Pradesh'), '2013-02-11')",1
"('syndrome', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('long', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('attention', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('pakistan', ('India', u'Karnataka'), '2013-04-22')",1
"('education', ('India', u'Punjab'), '2013-01-21')",1
"('part', ('India', u'Andhra Pradesh'), '2013-06-10')",1
"('dakshina', ('India', u'Karnataka'), '2013-06-10')",1
"('distribute', ('India', u'Karnataka'), '2013-06-10')",1
"('deteriorate', ('India', u'Karnataka'), '2013-06-03')",1
"('civic', ('India', u'Maharashtra'), '2013-02-11')",1
"('fountain', ('India', u'Karnataka'), '2013-04-22')",1
"('post', ('India', u'Kerala'), '2013-05-13')",2
"('shatrughan', ('India', u'Maharashtra'), '2013-04-15')",1
"('news', ('India', u'Madhya Pradesh'), '2013-02-25')",2
"('anganwadi', ('India', u'Karnataka'), '2013-06-10')",1
"('bombing', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('saturday', ('India', u'Kerala'), '2013-05-27')",1
"('primary', ('India', u'West Bengal'), '2013-01-21')",1
"('premier', ('India', u'Karnataka'), '2013-06-03')",1
"('ally', ('India', u'Madhya Pradesh'), '2013-06-10')",1
"('limelight', ('India', u'Karnataka'), '2013-06-10')",1
"('person', ('India', u'Rajasthan'), '2013-04-22')",1
"('malegowda', ('India', u'Karnataka'), '2013-05-20')",1
"('outpatient', ('India', u'Kerala'), '2013-06-03')",1
"('provide', ('India', u'Kerala'), '2013-06-03')",2
"('leptosirosis', ('India', u'Kerala'), '2013-06-03')",1
"('malippuram', ('India', u'Kerala'), '2013-06-03')",1
"('monsoon', ('India', u'Andhra Pradesh'), '2013-01-07')",1
"('ramp', ('India', u'Karnataka'), '2013-04-22')",1
"('incidence', ('India', u'Karnataka'), '2013-05-27')",1
"('reserve', ('India', u'Punjab'), '2013-06-10')",1
"('test', ('India', u'Goa'), '2013-04-01')",1
"('inspector', ('India', u'Haryana'), '2013-05-06')",1
"('reason', ('India', u'Madhya Pradesh'), '2013-02-25')",1
"('khan', ('India', u'Karnataka'), '2013-06-10')",1
"('person', ('India', u'Karnataka'), '2013-05-27')",1
"('person', ('India', u'Haryana'), '2013-05-06')",1
"('sachin', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('clinic', ('India', u'Goa'), '2013-04-01')",1
"('enter', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('spca', ('India', u'Goa'), '2013-01-21')",1
"('sabha', ('India', u'Karnataka'), '2013-04-22')",1
"('near', ('India', u'Tamil Nadu'), '2013-06-10')",1
"('causing', ('India', u'Maharashtra'), '2013-04-15')",1
"('one', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('add', ('India', u'Madhya Pradesh'), '2013-02-25')",1
"('nda', ('India', u'Maharashtra'), '2013-06-10')",1
"('lead', ('India', u'Karnataka'), '2013-04-22')",1
"('wrestle', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('claim', ('India', u'Madhya Pradesh'), '2013-06-10')",1
"('annual', ('India', u'Andhra Pradesh'), '2013-06-10')",1
"('stay', ('India', u'Maharashtra'), '2013-04-15')",1
"('january', ('India', u'Uttar Pradesh'), '2013-06-03')",1
"('available', ('India', u'Goa'), '2013-05-27')",1
"('research', ('India', u'Maharashtra'), '2013-02-11')",1
"('back', ('India', u'Tamil Nadu'), '2013-04-01')",1
"('cadre', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('kerala', ('India', u'Kerala'), '2013-05-06')",1
"('add', ('India', u'Karnataka'), '2013-05-20')",3
"('krishnappa', ('India', u'Karnataka'), '2013-06-10')",1
"('resident', ('India', u'Chhattisgarh'), '2013-03-18')",1
"('city', ('India', u'Maharashtra'), '2013-05-20')",1
"('frequent', ('India', u'Maharashtra'), '2013-01-21')",1
"('spread', ('India', u'Kerala'), '2013-05-13')",2
"('last', ('India', u'Punjab'), '2013-04-08')",1
"('guideline', ('India', u'Karnataka'), '2013-06-10')",1
"('cultural', ('India', 'Kerala'), '2013-05-13')",1
"('faridkot', ('India', u'Punjab'), '2013-01-21')",1
"('appoint', ('India', 'Kerala'), '2013-05-13')",1
"('rain', ('India', u'Karnataka'), '2013-06-03')",1
"('ipl', ('India', u'Kerala'), '2013-05-06')",1
"('identify', ('India', u'Orissa'), '2013-04-22')",1
"('pharmacy', ('India', u'Karnataka'), '2013-06-10')",1
"('impossible', ('India', u'Maharashtra'), '2013-04-15')",2
"('cargo', ('India', u'Karnataka'), '2013-06-10')",1
"('night', ('India', u'Uttar Pradesh'), '2013-05-06')",1
"('become', ('India', u'Punjab'), '2013-04-08')",1
