Tuple,count
"('common', ('India', u'Maharashtra'), '2013-02-11')",2
"('present', ('India', u'Goa'), '2013-01-21')",1
"('single', ('India', u'Maharashtra'), '2013-02-11')",1
"('cbi', ('India', u'Maharashtra'), '2013-02-11')",1
"('week', ('India', u'Tamil Nadu'), '2013-01-07')",1
"('large', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('david', ('India', u'Goa'), '2013-01-21')",1
"('example', ('India', u'Madhya Pradesh'), '2013-03-04')",1
"('prevent', ('India', u'Maharashtra'), '2013-02-11')",1
"('decrease', ('India', u'Goa'), '2013-04-01')",1
"('work', ('India', u'Maharashtra'), '2013-02-11')",1
"('even', ('India', u'Maharashtra'), '2013-04-15')",1
"('garbage', ('India', u'Goa'), '2013-04-01')",1
"('violation', ('India', u'West Bengal'), '2013-01-21')",1
"('nearly', ('India', u'Maharashtra'), '2013-02-11')",1
"('jaipur', ('India', u'Punjab'), '2013-01-21')",1
"('happy', ('India', u'Maharashtra'), '2013-02-11')",1
"('lead', ('India', u'Madhya Pradesh'), '2013-03-04')",1
"('head', ('India', u'Punjab'), '2013-01-21')",1
"('meet', ('India', u'Punjab'), '2013-01-21')",1
"('lassa', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('another', ('India', u'Madhya Pradesh'), '2013-02-11')",1
"('borne', ('India', u'Goa'), '2013-04-01')",1
"('concern', ('India', u'Tamil Nadu'), '2013-04-08')",1
"('deadly', ('India', u'Madhya Pradesh'), '2013-02-25')",1
"('producer', ('India', u'Punjab'), '2013-04-08')",1
"('sheet', ('India', u'Punjab'), '2013-04-08')",1
"('may', ('India', u'Punjab'), '2013-01-21')",1
"('area', ('India', u'Chhattisgarh'), '2013-03-18')",1
"('ahuja', ('India', u'Punjab'), '2013-01-21')",1
"('thursday', ('India', u'Maharashtra'), '2013-04-15')",1
"('last', ('India', u'Maharashtra'), '2013-04-15')",2
"('due', ('India', u'Maharashtra'), '2013-04-15')",1
"('weekly', ('India', u'Maharashtra'), '2013-02-11')",1
"('happen', ('India', u'Goa'), '2013-04-01')",1
"('confirm', ('India', u'Goa'), '2013-04-01')",1
"('away', ('India', u'Maharashtra'), '2013-04-15')",1
"('disease', ('India', u'Maharashtra'), '2013-02-11')",1
"('read', ('India', u'Punjab'), '2013-04-08')",1
"('increase', ('India', u'Madhya Pradesh'), '2013-02-25')",2
"('high', ('India', u'West Bengal'), '2013-01-21')",1
"('lal', ('India', u'Punjab'), '2013-04-08')",1
"('investment', ('India', u'Maharashtra'), '2013-02-11')",1
"('simple', ('India', u'Goa'), '2013-01-21')",1
"('less', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('say', ('India', u'Punjab'), '2013-04-08')",1
"('hour', ('India', u'Goa'), '2013-01-21')",1
"('take', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('text', ('India', u'Maharashtra'), '2013-04-15')",1
"('state', ('India', u'Chhattisgarh'), '2013-03-18')",1
"('victim', ('India', u'Punjab'), '2013-04-08')",1
"('link', ('India', u'Madhya Pradesh'), '2013-03-04')",1
"('stagnant', ('India', u'Maharashtra'), '2013-02-11')",1
"('case', ('India', u'Madhya Pradesh'), '2013-03-04')",1
"('amberpet', ('India', u'Andhra Pradesh'), '2013-01-07')",1
"('george', ('India', u'Madhya Pradesh'), '2013-04-01')",1
"('canada', ('India', u'Goa'), '2013-04-01')",1
"('stay', ('India', u'Maharashtra'), '2013-04-15')",1
"('tackle', ('India', u'Madhya Pradesh'), '2013-02-25')",1
"('system', ('India', u'Madhya Pradesh'), '2013-03-04')",1
"('woman', ('India', u'Madhya Pradesh'), '2013-02-25')",1
"('compare', ('India', u'Tamil Nadu'), '2013-01-07')",1
"('drive', ('India', u'Maharashtra'), '2013-04-15')",1
"('number', ('India', u'Goa'), '2013-01-21')",1
"('upa', ('India', u'Chhattisgarh'), '2013-03-18')",1
"('jeet', ('India', u'Punjab'), '2013-01-21')",1
"('decrease', ('India', u'Maharashtra'), '2013-02-11')",1
"('institution', ('India', u'Tamil Nadu'), '2013-01-07')",1
"('guideline', ('India', u'Madhya Pradesh'), '2013-02-25')",2
"('borne', ('India', u'Maharashtra'), '2013-02-11')",2
"('wonderful', ('India', u'Maharashtra'), '2013-02-11')",1
"('waste', ('India', u'West Bengal'), '2013-01-21')",1
"('actual', ('India', u'West Bengal'), '2013-01-21')",1
"('like', ('India', u'Punjab'), '2013-01-21')",1
"('person', ('India', u'Chhattisgarh'), '2013-03-18')",1
"('well', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('doctor', ('India', u'Maharashtra'), '2013-02-11')",2
"('home', ('India', u'Punjab'), '2013-04-08')",1
"('happen', ('India', u'Maharashtra'), '2013-02-11')",1
"('unconscious', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('july', ('India', u'Madhya Pradesh'), '2013-03-04')",1
"('temporary', ('India', u'Maharashtra'), '2013-02-11')",1
"('governmental', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('provide', ('India', u'Goa'), '2013-04-01')",1
"('flowing', ('India', u'Maharashtra'), '2013-02-11')",1
"('low', ('India', u'Madhya Pradesh'), '2013-03-04')",1
"('cake', ('India', u'Madhya Pradesh'), '2013-03-04')",1
"('paper', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('common', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('muslim', ('India', u'Maharashtra'), '2013-02-11')",1
"('cremate', ('India', u'Maharashtra'), '2013-02-11')",1
"('experience', ('India', u'Maharashtra'), '2013-02-11')",1
"('health', ('India', u'Chhattisgarh'), '2013-03-18')",1
"('article', ('India', u'Madhya Pradesh'), '2013-02-11')",1
"('salem', ('India', u'Tamil Nadu'), '2013-01-07')",1
"('good', ('India', u'Madhya Pradesh'), '2013-02-25')",1
"('return', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('affect', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('spot', ('India', u'Maharashtra'), '2013-04-15')",1
"('project', ('India', u'Tamil Nadu'), '2013-04-08')",1
"('january', ('India', u'West Bengal'), '2013-01-21')",1
"('though', ('India', u'Maharashtra'), '2013-04-15')",1
"('area', ('India', u'Andhra Pradesh'), '2013-01-07')",1
"('camp', ('India', u'Andhra Pradesh'), '2013-01-07')",1
"('organ', ('India', u'Maharashtra'), '2013-01-21')",1
"('coding', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('previous', ('India', u'Madhya Pradesh'), '2013-02-25')",1
"('choose', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('pardeshi', ('India', u'Maharashtra'), '2013-04-15')",1
"('govt', ('India', u'Punjab'), '2013-01-21')",1
"('group', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('claim', ('India', u'West Bengal'), '2013-01-21')",1
"('today', ('India', u'Madhya Pradesh'), '2013-02-11')",1
"('jalandhar', ('India', u'Punjab'), '2013-04-08')",1
"('several', ('India', u'Maharashtra'), '2013-02-11')",1
"('point', ('India', u'Tamil Nadu'), '2013-04-08')",1
"('doubt', ('India', u'West Bengal'), '2013-01-21')",1
"('health', ('India', u'Andhra Pradesh'), '2013-01-07')",1
"('malaria', ('India', u'Goa'), '2013-04-01')",1
"('village', ('India', u'Goa'), '2013-04-01')",1
"('filaria', ('India', u'Chhattisgarh'), '2013-03-18')",1
"('mean', ('India', u'Madhya Pradesh'), '2013-02-25')",1
"('outbreak', ('India', u'Madhya Pradesh'), '2013-02-11')",1
"('record', ('India', u'Andhra Pradesh'), '2013-01-07')",1
"('old', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('kapurthala', ('India', u'Punjab'), '2013-01-21')",1
"('support', ('India', u'Maharashtra'), '2013-01-21')",1
"('poisonous', ('India', u'Punjab'), '2013-04-08')",1
"('reflect', ('India', u'Andhra Pradesh'), '2013-01-07')",1
"('traveler', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('easwaran', ('India', u'Madhya Pradesh'), '2013-02-11')",1
"('indian', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('season', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('year', ('India', u'Tamil Nadu'), '2013-04-08')",1
"('notification', ('India', u'Punjab'), '2013-01-21')",1
"('mumbai', ('India', u'Maharashtra'), '2013-02-11')",2
"('along', ('India', u'Goa'), '2013-01-21')",1
"('pilot', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('indian', ('India', u'Andhra Pradesh'), '2013-01-07')",1
"('subsidy', ('India', u'Punjab'), '2013-04-08')",1
"('generally', ('India', u'Andhra Pradesh'), '2013-01-07')",1
"('enter', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('national', ('India', u'Maharashtra'), '2013-01-21')",1
"('aej', ('India', u'Maharashtra'), '2013-02-11')",1
"('gmc', ('India', u'Goa'), '2013-04-01')",1
"('rise', ('India', u'Madhya Pradesh'), '2013-02-25')",2
"('line', ('India', u'Maharashtra'), '2013-02-11')",1
"('today', ('India', u'Maharashtra'), '2013-01-21')",1
"('finding', ('India', u'Madhya Pradesh'), '2013-03-04')",1
"('strike', ('India', u'Tamil Nadu'), '2013-01-07')",1
"('parkinson', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('old', ('India', u'Maharashtra'), '2013-01-21')",1
"('zone', ('India', u'Chhattisgarh'), '2013-03-18')",1
"('inner', ('India', u'Maharashtra'), '2013-02-11')",1
"('service', ('India', u'Maharashtra'), '2013-02-11')",1
"('health', ('India', u'Maharashtra'), '2013-01-21')",1
"('vomit', ('India', u'Punjab'), '2013-04-08')",1
"('hoshiarpur', ('India', u'Punjab'), '2013-01-21')",1
"('pollute', ('India', u'West Bengal'), '2013-01-21')",1
"('ask', ('India', u'Punjab'), '2013-04-08')",1
"('fair', ('India', u'West Bengal'), '2013-01-21')",1
"('conduct', ('India', u'Chhattisgarh'), '2013-03-18')",1
"('national', ('India', u'Maharashtra'), '2013-02-11')",2
"('action', ('India', u'Maharashtra'), '2013-02-11')",1
"('kutch', ('India', u'Madhya Pradesh'), '2013-03-04')",1
"('poor', ('India', u'Andhra Pradesh'), '2013-01-07')",1
"('mistakenly', ('India', u'Maharashtra'), '2013-04-15')",1
"('official', ('India', u'West Bengal'), '2013-01-21')",1
"('infection', ('India', u'Maharashtra'), '2013-01-21')",1
"('disinfect', ('India', u'Tamil Nadu'), '2013-04-01')",1
"('moga', ('India', u'Punjab'), '2013-04-08')",1
"('additional', ('India', u'Madhya Pradesh'), '2013-03-04')",1
"('system', ('India', u'Punjab'), '2013-01-21')",1
"('mostly', ('India', u'Goa'), '2013-04-01')",1
"('nationalturk', ('India', u'Madhya Pradesh'), '2013-02-25')",1
"('read', ('India', u'Maharashtra'), '2013-02-11')",1
"('violating', ('India', u'Maharashtra'), '2013-02-11')",1
"('teck', ('India', u'Madhya Pradesh'), '2013-04-01')",1
"('municipal', ('India', u'Maharashtra'), '2013-01-21')",1
"('district', ('India', u'Punjab'), '2013-01-21')",1
"('reminder', ('India', u'Maharashtra'), '2013-02-11')",1
"('genetic', ('India', u'Madhya Pradesh'), '2013-02-11')",1
"('screening', ('India', u'Maharashtra'), '2013-02-11')",1
"('officer', ('India', u'Andhra Pradesh'), '2013-01-07')",1
"('top', ('India', u'Punjab'), '2013-04-08')",1
"('advisor', ('India', u'Madhya Pradesh'), '2013-04-08')",1
"('might', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('state', ('India', u'Tamil Nadu'), '2013-01-07')",1
"('permanent', ('India', u'Maharashtra'), '2013-02-11')",1
"('include', ('India', u'West Bengal'), '2013-01-21')",1
"('state', ('India', u'West Bengal'), '2013-01-21')",1
"('civilian', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('college', ('India', u'Goa'), '2013-04-01')",1
"('diagnosing', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('start', ('India', u'Maharashtra'), '2013-02-11')",1
"('flow', ('India', u'Maharashtra'), '2013-02-11')",1
"('malaria', ('India', u'Chhattisgarh'), '2013-03-18')",1
"('serious', ('India', u'Goa'), '2013-01-21')",1
"('cortex', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('extradition', ('India', u'Goa'), '2013-01-21')",1
"('case', ('India', u'Madhya Pradesh'), '2013-04-01')",1
"('back', ('India', u'Punjab'), '2013-04-08')",1
"('poll', ('India', u'Punjab'), '2013-01-21')",1
"('opinion', ('India', u'Punjab'), '2013-01-21')",1
"('perceptual', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('ghosh', ('India', u'West Bengal'), '2013-01-21')",1
"('plague', ('India', u'Maharashtra'), '2013-02-11')",1
"('way', ('India', u'Goa'), '2013-01-21')",1
"('divide', ('India', u'Punjab'), '2013-01-21')",1
"('design', ('India', u'Maharashtra'), '2013-02-11')",1
"('transmission', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('escape', ('India', u'Maharashtra'), '2013-02-11')",1
