Epi week start date,Whooping cough,Rabies,Salmonellosis,E. coli infection
2010-01-03,4.0,9.0,61.0,3.0
2010-01-10,9.0,1.0,263.0,8.0
2010-01-17,47.0,6.0,86.0,25.0
2010-01-24,14.0,60.0,359.0,26.0
2010-01-31,7.0,24.0,175.0,15.0
2010-02-07,1.0,31.0,211.0,12.0
2010-02-14,14.0,36.0,267.0,31.0
2010-02-21,14.0,5.0,499.0,34.0
2010-02-28,7.0,3.0,773.0,33.0
2010-03-07,18.0,7.0,1101.0,29.0
2010-03-14,13.0,35.0,536.0,41.0
2010-03-21,40.0,21.0,254.0,8.0
2010-03-28,19.0,23.0,266.0,10.0
2010-04-04,92.0,15.0,86.0,23.0
2010-04-11,46.0,40.0,155.0,21.0
2010-04-18,95.0,14.0,135.0,36.0
2010-04-25,132.0,37.0,74.0,23.0
2010-05-02,187.0,39.0,685.0,76.0
2010-05-09,315.0,24.0,766.0,89.0
2010-05-16,463.0,4.0,500.0,76.0
2010-05-23,160.0,14.0,433.0,23.0
2010-05-30,306.0,15.0,621.0,72.0
2010-06-06,284.0,22.0,195.0,54.0
2010-06-13,108.0,26.0,747.0,54.0
2010-06-20,415.0,20.0,292.0,54.0
2010-06-27,260.0,10.0,611.0,76.0
2010-07-04,185.0,9.0,350.0,44.0
2010-07-11,271.0,68.0,590.0,88.0
2010-07-18,137.0,29.0,697.0,66.0
2010-07-25,181.0,29.0,1002.0,70.0
2010-08-01,175.0,25.0,845.0,53.0
2010-08-08,236.0,17.0,717.0,62.0
2010-08-15,222.0,27.0,2123.0,101.0
2010-08-22,146.0,21.0,2959.0,80.0
2010-08-29,215.0,9.0,2464.0,156.0
2010-09-05,248.0,3.0,797.0,43.0
2010-09-12,372.0,13.0,714.0,65.0
2010-09-19,300.0,35.0,1084.0,99.0
2010-09-26,231.0,5.0,219.0,46.0
2010-10-03,36.0,7.0,204.0,16.0
2010-10-10,136.0,6.0,58.0,19.0
2010-10-17,62.0,27.0,233.0,11.0
2010-10-24,112.0,0.0,247.0,20.0
2010-10-31,205.0,10.0,115.0,19.0
2010-11-07,210.0,1.0,138.0,17.0
2010-11-14,219.0,15.0,200.0,42.0
2010-11-21,109.0,42.0,116.0,18.0
2010-11-28,73.0,33.0,211.0,22.0
2010-12-05,63.0,39.0,156.0,25.0
2010-12-12,147.0,2.0,102.0,5.0
2010-12-19,125.0,23.0,175.0,37.0
2010-12-26,133.0,7.0,70.0,20.0
2011-01-02,84.0,16.0,87.0,12.0
2011-01-09,77.0,7.0,226.0,34.0
2011-01-16,52.0,9.0,100.0,26.0
2011-01-23,71.0,14.0,187.0,25.0
2011-01-30,80.0,15.0,104.0,16.0
2011-02-06,107.0,30.0,218.0,36.0
2011-02-13,92.0,47.0,67.0,36.0
2011-02-20,54.0,35.0,197.0,38.0
2011-02-27,81.0,29.0,412.0,45.0
2011-03-06,61.0,24.0,671.0,42.0
2011-03-13,22.0,29.0,240.0,45.0
2011-03-20,60.0,72.0,264.0,70.0
2011-03-27,57.0,69.0,594.0,55.0
2011-04-03,25.0,25.0,336.0,33.0
2011-04-10,101.0,45.0,337.0,63.0
2011-04-17,62.0,54.0,492.0,42.0
2011-04-24,45.0,13.0,158.0,11.0
2011-05-01,79.0,12.0,246.0,19.0
2011-05-08,92.0,15.0,523.0,32.0
2011-05-15,145.0,28.0,326.0,28.0
2011-05-22,196.0,20.0,409.0,52.0
2011-05-29,96.0,10.0,851.0,33.0
2011-06-05,137.0,34.0,795.0,75.0
2011-06-12,146.0,19.0,374.0,20.0
2011-06-19,217.0,28.0,490.0,42.0
2011-06-26,80.0,32.0,421.0,26.0
2011-07-03,115.0,37.0,438.0,43.0
2011-07-10,120.0,24.0,274.0,30.0
2011-07-17,50.0,25.0,217.0,18.0
2011-07-24,149.0,28.0,364.0,35.0
2011-07-31,148.0,26.0,1135.0,63.0
2011-08-07,135.0,48.0,910.0,64.0
2011-08-14,129.0,27.0,458.0,35.0
2011-08-21,88.0,15.0,280.0,31.0
2011-08-28,99.0,24.0,403.0,43.0
2011-09-04,109.0,27.0,480.0,26.0
2011-09-11,117.0,19.0,487.0,28.0
2011-09-18,108.0,23.0,778.0,36.0
2011-09-25,73.0,25.0,712.0,39.0
2011-10-02,47.0,21.0,75.0,20.0
2011-10-09,116.0,67.0,111.0,35.0
2011-10-16,158.0,34.0,141.0,36.0
2011-10-23,338.0,87.0,218.0,58.0
2011-10-30,363.0,58.0,299.0,62.0
2011-11-06,196.0,47.0,301.0,48.0
2011-11-13,405.0,23.0,264.0,49.0
2011-11-20,159.0,9.0,103.0,28.0
2011-11-27,233.0,41.0,122.0,41.0
2011-12-04,361.0,20.0,287.0,53.0
2011-12-11,308.0,16.0,204.0,26.0
2011-12-18,219.0,27.0,427.0,55.0
2011-12-25,247.0,32.0,132.0,56.0
2012-01-01,136.0,57.0,161.0,34.0
2012-01-08,169.0,71.0,328.0,66.0
2012-01-15,175.0,43.0,315.0,60.0
2012-01-22,169.0,36.0,274.0,43.0
2012-01-29,115.0,24.0,105.0,18.0
2012-02-05,160.0,34.0,118.0,26.0
2012-02-12,152.0,29.0,28.0,10.0
2012-02-19,146.0,50.0,171.0,29.0
2012-02-26,209.0,115.0,280.0,65.0
2012-03-04,196.0,56.0,64.0,26.0
2012-03-11,84.0,41.0,21.0,7.0
2012-03-18,86.0,15.0,196.0,12.0
2012-03-25,179.0,32.0,167.0,20.0
2012-04-01,115.0,38.0,383.0,21.0
2012-04-08,234.0,17.0,217.0,28.0
2012-04-15,331.0,20.0,352.0,44.0
2012-04-22,328.0,41.0,165.0,36.0
