Epi week start date,Whooping cough,Rabies,Salmonellosis,E. coli infection
2010-01-03,4.0,3.0,63.0,1.0
2010-01-10,3.0,4.0,275.0,12.0
2010-01-17,63.0,12.0,85.0,28.0
2010-01-24,7.0,51.0,364.0,18.0
2010-01-31,5.0,24.0,203.0,13.0
2010-02-07,3.0,29.0,195.0,15.0
2010-02-14,10.0,39.0,299.0,25.0
2010-02-21,5.0,8.0,521.0,26.0
2010-02-28,12.0,1.0,728.0,31.0
2010-03-07,14.0,9.0,1098.0,24.0
2010-03-14,9.0,27.0,509.0,52.0
2010-03-21,21.0,20.0,229.0,17.0
2010-03-28,20.0,20.0,246.0,7.0
2010-04-04,82.0,15.0,79.0,14.0
2010-04-11,44.0,34.0,130.0,19.0
2010-04-18,118.0,12.0,157.0,35.0
2010-04-25,147.0,42.0,47.0,25.0
2010-05-02,202.0,42.0,672.0,71.0
2010-05-09,320.0,12.0,764.0,63.0
2010-05-16,468.0,11.0,522.0,62.0
2010-05-23,140.0,21.0,457.0,18.0
2010-05-30,317.0,17.0,594.0,68.0
2010-06-06,278.0,8.0,193.0,48.0
2010-06-13,100.0,30.0,675.0,59.0
2010-06-20,444.0,32.0,276.0,60.0
2010-06-27,266.0,11.0,590.0,74.0
2010-07-04,223.0,16.0,330.0,57.0
2010-07-11,302.0,58.0,603.0,98.0
2010-07-18,164.0,24.0,661.0,71.0
2010-07-25,165.0,23.0,922.0,63.0
2010-08-01,152.0,27.0,809.0,66.0
2010-08-08,225.0,20.0,713.0,68.0
2010-08-15,231.0,23.0,2215.0,118.0
2010-08-22,129.0,14.0,2865.0,94.0
2010-08-29,219.0,14.0,2541.0,115.0
2010-09-05,252.0,4.0,701.0,39.0
2010-09-12,398.0,10.0,739.0,82.0
2010-09-19,302.0,32.0,1059.0,105.0
2010-09-26,231.0,6.0,205.0,32.0
2010-10-03,46.0,17.0,219.0,10.0
2010-10-10,138.0,4.0,51.0,4.0
2010-10-17,64.0,20.0,227.0,13.0
2010-10-24,117.0,0.0,259.0,25.0
2010-10-31,188.0,7.0,122.0,20.0
2010-11-07,207.0,6.0,145.0,18.0
2010-11-14,223.0,22.0,220.0,38.0
2010-11-21,100.0,45.0,111.0,20.0
2010-11-28,66.0,44.0,228.0,28.0
2010-12-05,67.0,40.0,157.0,30.0
2010-12-12,131.0,3.0,99.0,12.0
2010-12-19,165.0,21.0,187.0,38.0
2010-12-26,121.0,6.0,91.0,16.0
2011-01-02,85.0,24.0,104.0,26.0
2011-01-09,75.0,5.0,233.0,30.0
2011-01-16,61.0,10.0,96.0,24.0
2011-01-23,70.0,14.0,187.0,15.0
2011-01-30,89.0,13.0,97.0,20.0
2011-02-06,93.0,31.0,198.0,46.0
2011-02-13,95.0,31.0,70.0,42.0
2011-02-20,47.0,32.0,199.0,35.0
2011-02-27,79.0,15.0,425.0,44.0
2011-03-06,56.0,39.0,648.0,54.0
2011-03-13,29.0,45.0,236.0,36.0
2011-03-20,69.0,66.0,283.0,56.0
2011-03-27,49.0,79.0,536.0,57.0
2011-04-03,25.0,36.0,296.0,25.0
2011-04-10,107.0,39.0,278.0,49.0
2011-04-17,67.0,40.0,542.0,53.0
2011-04-24,59.0,12.0,154.0,20.0
2011-05-01,82.0,20.0,232.0,10.0
2011-05-08,104.0,19.0,512.0,39.0
2011-05-15,121.0,19.0,339.0,26.0
2011-05-22,190.0,22.0,401.0,43.0
2011-05-29,78.0,5.0,862.0,54.0
2011-06-05,175.0,26.0,822.0,59.0
2011-06-12,116.0,17.0,348.0,22.0
2011-06-19,201.0,36.0,490.0,45.0
2011-06-26,90.0,34.0,424.0,31.0
2011-07-03,104.0,32.0,469.0,54.0
2011-07-10,122.0,23.0,298.0,47.0
2011-07-17,69.0,35.0,234.0,21.0
2011-07-24,164.0,31.0,369.0,37.0
2011-07-31,165.0,26.0,1178.0,71.0
2011-08-07,130.0,33.0,897.0,65.0
2011-08-14,115.0,29.0,448.0,33.0
2011-08-21,106.0,15.0,312.0,17.0
2011-08-28,94.0,27.0,416.0,39.0
2011-09-04,113.0,34.0,463.0,35.0
2011-09-11,105.0,23.0,482.0,35.0
2011-09-18,99.0,25.0,771.0,35.0
2011-09-25,89.0,22.0,804.0,45.0
2011-10-02,51.0,27.0,93.0,20.0
2011-10-09,131.0,65.0,118.0,37.0
2011-10-16,183.0,46.0,117.0,34.0
2011-10-23,354.0,88.0,214.0,64.0
2011-10-30,328.0,59.0,278.0,77.0
2011-11-06,194.0,49.0,277.0,54.0
2011-11-13,352.0,29.0,312.0,58.0
2011-11-20,164.0,16.0,114.0,23.0
2011-11-27,216.0,39.0,113.0,37.0
2011-12-04,334.0,39.0,283.0,45.0
2011-12-11,322.0,11.0,213.0,26.0
2011-12-18,199.0,38.0,403.0,45.0
2011-12-25,216.0,38.0,152.0,30.0
2012-01-01,138.0,53.0,162.0,49.0
2012-01-08,201.0,50.0,302.0,49.0
2012-01-15,177.0,42.0,319.0,52.0
2012-01-22,194.0,30.0,273.0,37.0
2012-01-29,112.0,42.0,87.0,23.0
2012-02-05,175.0,40.0,131.0,15.0
2012-02-12,192.0,22.0,24.0,11.0
2012-02-19,146.0,48.0,172.0,22.0
2012-02-26,239.0,110.0,294.0,72.0
2012-03-04,181.0,49.0,85.0,29.0
2012-03-11,94.0,31.0,25.0,9.0
2012-03-18,67.0,24.0,200.0,14.0
2012-03-25,138.0,30.0,151.0,21.0
2012-04-01,108.0,33.0,386.0,24.0
2012-04-08,214.0,24.0,247.0,25.0
2012-04-15,278.0,18.0,348.0,40.0
2012-04-22,297.0,58.0,182.0,36.0
2012-04-29,522.0,106.0,850.0,106.0
2012-05-06,725.0,58.0,462.0,65.0
2012-05-13,804.0,73.0,712.0,68.0
2012-05-20,419.0,40.0,489.0,60.0
2012-05-27,381.0,35.0,491.0,73.0
2012-06-03,387.0,40.0,515.0,64.0
2012-06-10,307.0,52.0,251.0,51.0
2012-06-17,362.0,68.0,463.0,76.0
2012-06-24,320.0,57.0,751.0,74.0
2012-07-01,245.0,32.0,232.0,42.0
2012-07-08,405.0,70.0,904.0,81.0
2012-07-15,566.0,44.0,868.0,91.0
2012-07-22,729.0,59.0,1428.0,130.0
2012-07-29,509.0,34.0,1520.0,93.0
2012-08-05,419.0,56.0,1310.0,128.0
2012-08-12,431.0,61.0,839.0,93.0
2012-08-19,481.0,58.0,1559.0,136.0
2012-08-26,413.0,40.0,1165.0,83.0
2012-09-02,517.0,53.0,1221.0,112.0
2012-09-09,559.0,36.0,1471.0,108.0
2012-09-16,480.0,74.0,1256.0,99.0
2012-09-23,447.0,59.0,1594.0,115.0
2012-09-30,122.0,22.0,599.0,40.0
2012-10-07,197.0,15.0,1688.0,53.0
2012-10-14,201.0,28.0,976.0,47.0
2012-10-21,69.0,16.0,547.0,23.0
2012-10-28,44.0,20.0,337.0,18.0
2012-11-04,152.0,27.0,303.0,22.0
2012-11-11,128.0,11.0,286.0,27.0
2012-11-18,164.0,7.0,450.0,17.0
2012-11-25,296.0,16.0,440.0,33.0
2012-12-02,87.0,9.0,332.0,16.0
