Epi week start date,Whooping cough,Rabies,Salmonellosis,E. coli infection
2010-01-03,5.0,5.0,64.0,5.0
2010-01-10,2.0,4.0,303.0,15.0
2010-01-17,62.0,7.0,104.0,20.0
2010-01-24,23.0,46.0,391.0,28.0
2010-01-31,4.0,19.0,206.0,11.0
2010-02-07,6.0,37.0,212.0,8.0
2010-02-14,10.0,25.0,359.0,39.0
2010-02-21,4.0,8.0,663.0,32.0
2010-02-28,14.0,7.0,860.0,38.0
2010-03-07,17.0,8.0,1216.0,39.0
2010-03-14,7.0,43.0,629.0,59.0
2010-03-21,40.0,23.0,289.0,10.0
2010-03-28,30.0,23.0,305.0,11.0
2010-04-04,101.0,17.0,96.0,21.0
2010-04-11,49.0,39.0,146.0,26.0
2010-04-18,97.0,21.0,159.0,39.0
2010-04-25,156.0,32.0,77.0,22.0
2010-05-02,207.0,51.0,786.0,84.0
2010-05-09,340.0,19.0,871.0,78.0
2010-05-16,494.0,8.0,584.0,53.0
2010-05-23,148.0,18.0,489.0,36.0
2010-05-30,304.0,17.0,717.0,63.0
2010-06-06,290.0,20.0,192.0,47.0
2010-06-13,120.0,23.0,825.0,80.0
2010-06-20,418.0,48.0,354.0,86.0
2010-06-27,263.0,16.0,689.0,68.0
2010-07-04,202.0,13.0,369.0,59.0
2010-07-11,269.0,69.0,714.0,97.0
2010-07-18,145.0,35.0,781.0,71.0
2010-07-25,190.0,20.0,1152.0,80.0
2010-08-01,177.0,42.0,905.0,70.0
2010-08-08,210.0,10.0,853.0,62.0
2010-08-15,229.0,31.0,2534.0,132.0
2010-08-22,144.0,27.0,3370.0,113.0
2010-08-29,219.0,26.0,2859.0,150.0
2010-09-05,242.0,2.0,853.0,54.0
2010-09-12,403.0,12.0,838.0,78.0
2010-09-19,288.0,30.0,1143.0,114.0
2010-09-26,246.0,4.0,224.0,48.0
2010-10-03,38.0,11.0,238.0,14.0
2010-10-10,139.0,9.0,52.0,11.0
2010-10-17,57.0,25.0,256.0,12.0
2010-10-24,112.0,0.0,269.0,24.0
2010-10-31,192.0,8.0,135.0,21.0
2010-11-07,227.0,4.0,156.0,24.0
2010-11-14,231.0,15.0,249.0,56.0
2010-11-21,102.0,45.0,138.0,28.0
2010-11-28,69.0,33.0,280.0,28.0
2010-12-05,86.0,42.0,163.0,34.0
2010-12-12,144.0,2.0,125.0,16.0
2010-12-19,153.0,22.0,210.0,41.0
2010-12-26,131.0,5.0,90.0,14.0
2011-01-02,91.0,14.0,115.0,16.0
2011-01-09,77.0,7.0,236.0,35.0
2011-01-16,58.0,8.0,136.0,29.0
2011-01-23,51.0,15.0,188.0,23.0
2011-01-30,82.0,11.0,114.0,15.0
2011-02-06,90.0,31.0,258.0,49.0
2011-02-13,91.0,49.0,91.0,37.0
2011-02-20,58.0,45.0,186.0,41.0
2011-02-27,75.0,30.0,517.0,45.0
2011-03-06,47.0,39.0,731.0,59.0
2011-03-13,25.0,47.0,291.0,36.0
2011-03-20,68.0,74.0,329.0,61.0
2011-03-27,63.0,77.0,644.0,72.0
2011-04-03,38.0,29.0,356.0,28.0
2011-04-10,124.0,48.0,358.0,55.0
2011-04-17,62.0,49.0,592.0,50.0
2011-04-24,69.0,15.0,193.0,13.0
2011-05-01,71.0,18.0,253.0,25.0
2011-05-08,87.0,20.0,584.0,50.0
2011-05-15,122.0,20.0,380.0,34.0
2011-05-22,208.0,20.0,476.0,44.0
2011-05-29,85.0,16.0,944.0,48.0
2011-06-05,168.0,27.0,932.0,89.0
2011-06-12,148.0,13.0,389.0,52.0
2011-06-19,218.0,28.0,570.0,64.0
2011-06-26,98.0,32.0,532.0,39.0
2011-07-03,118.0,33.0,514.0,42.0
2011-07-10,136.0,20.0,312.0,40.0
2011-07-17,51.0,30.0,275.0,28.0
2011-07-24,176.0,28.0,439.0,44.0
2011-07-31,150.0,33.0,1383.0,67.0
2011-08-07,131.0,39.0,1016.0,75.0
2011-08-14,114.0,22.0,523.0,37.0
2011-08-21,97.0,31.0,331.0,25.0
2011-08-28,104.0,21.0,461.0,63.0
2011-09-04,116.0,18.0,641.0,38.0
2011-09-11,123.0,20.0,554.0,18.0
2011-09-18,112.0,29.0,862.0,48.0
2011-09-25,83.0,31.0,810.0,47.0
2011-10-02,58.0,23.0,85.0,16.0
2011-10-09,125.0,73.0,127.0,39.0
2011-10-16,167.0,40.0,138.0,25.0
2011-10-23,327.0,85.0,253.0,68.0
2011-10-30,418.0,66.0,363.0,87.0
2011-11-06,180.0,49.0,357.0,62.0
2011-11-13,386.0,35.0,329.0,73.0
2011-11-20,143.0,11.0,130.0,24.0
2011-11-27,206.0,47.0,120.0,53.0
2011-12-04,293.0,27.0,292.0,54.0
2011-12-11,298.0,14.0,233.0,36.0
2011-12-18,202.0,31.0,462.0,45.0
2011-12-25,218.0,31.0,192.0,40.0
2012-01-01,120.0,54.0,176.0,58.0
2012-01-08,210.0,61.0,350.0,72.0
2012-01-15,171.0,33.0,359.0,54.0
2012-01-22,205.0,40.0,317.0,53.0
2012-01-29,115.0,37.0,115.0,14.0
2012-02-05,182.0,25.0,158.0,21.0
2012-02-12,158.0,23.0,19.0,13.0
