Epi week start date,Whooping cough,Rabies,Salmonellosis,E. coli infection
2010-01-03,9.0,6.0,47.0,3.0
2010-01-10,3.0,5.0,233.0,6.0
2010-01-17,53.0,10.0,95.0,15.0
2010-01-24,17.0,50.0,359.0,28.0
2010-01-31,5.0,26.0,187.0,9.0
2010-02-07,7.0,30.0,227.0,8.0
2010-02-14,12.0,27.0,309.0,33.0
2010-02-21,9.0,10.0,549.0,29.0
2010-02-28,6.0,9.0,755.0,25.0
2010-03-07,21.0,6.0,1114.0,36.0
2010-03-14,9.0,26.0,561.0,35.0
2010-03-21,37.0,17.0,225.0,16.0
2010-03-28,25.0,19.0,306.0,11.0
2010-04-04,90.0,22.0,81.0,15.0
2010-04-11,59.0,44.0,147.0,17.0
2010-04-18,102.0,12.0,134.0,38.0
2010-04-25,150.0,42.0,54.0,29.0
2010-05-02,215.0,39.0,682.0,72.0
2010-05-09,345.0,20.0,755.0,87.0
2010-05-16,525.0,8.0,552.0,77.0
2010-05-23,162.0,22.0,445.0,37.0
2010-05-30,315.0,6.0,634.0,72.0
2010-06-06,285.0,18.0,166.0,53.0
2010-06-13,104.0,23.0,683.0,64.0
2010-06-20,398.0,28.0,271.0,74.0
2010-06-27,309.0,21.0,623.0,64.0
2010-07-04,197.0,16.0,342.0,52.0
2010-07-11,291.0,58.0,624.0,109.0
2010-07-18,168.0,29.0,721.0,43.0
2010-07-25,176.0,27.0,966.0,75.0
2010-08-01,140.0,36.0,789.0,54.0
2010-08-08,235.0,25.0,717.0,55.0
2010-08-15,164.0,37.0,2165.0,106.0
2010-08-22,127.0,14.0,2921.0,90.0
2010-08-29,245.0,26.0,2602.0,147.0
2010-09-05,231.0,0.0,768.0,29.0
2010-09-12,393.0,19.0,706.0,76.0
2010-09-19,307.0,28.0,1042.0,106.0
2010-09-26,246.0,4.0,200.0,46.0
2010-10-03,33.0,11.0,214.0,11.0
2010-10-10,141.0,12.0,44.0,20.0
2010-10-17,50.0,22.0,215.0,13.0
2010-10-24,97.0,1.0,213.0,22.0
2010-10-31,231.0,12.0,123.0,17.0
2010-11-07,202.0,5.0,131.0,27.0
2010-11-14,237.0,18.0,212.0,47.0
2010-11-21,109.0,43.0,118.0,24.0
2010-11-28,69.0,40.0,245.0,31.0
2010-12-05,79.0,36.0,162.0,37.0
