Epi week start date,Whooping cough,Rabies,Salmonellosis,E. coli infection
2010-01-03,2.0,3.0,61.0,1.0
2010-01-10,3.0,9.0,248.0,10.0
2010-01-17,51.0,8.0,90.0,19.0
2010-01-24,22.0,50.0,360.0,25.0
2010-01-31,8.0,21.0,162.0,22.0
2010-02-07,4.0,22.0,227.0,9.0
2010-02-14,12.0,30.0,277.0,21.0
2010-02-21,8.0,11.0,568.0,25.0
2010-02-28,6.0,5.0,717.0,28.0
2010-03-07,23.0,6.0,1074.0,30.0
2010-03-14,8.0,25.0,567.0,36.0
2010-03-21,26.0,17.0,230.0,9.0
2010-03-28,14.0,28.0,267.0,10.0
2010-04-04,111.0,12.0,79.0,24.0
2010-04-11,53.0,50.0,135.0,21.0
2010-04-18,109.0,12.0,142.0,27.0
2010-04-25,151.0,40.0,68.0,25.0
2010-05-02,210.0,44.0,675.0,66.0
2010-05-09,316.0,20.0,763.0,83.0
2010-05-16,506.0,7.0,509.0,69.0
2010-05-23,145.0,14.0,484.0,31.0
2010-05-30,297.0,18.0,636.0,69.0
2010-06-06,280.0,21.0,182.0,40.0
2010-06-13,109.0,28.0,669.0,60.0
2010-06-20,394.0,21.0,336.0,71.0
2010-06-27,270.0,28.0,646.0,70.0
2010-07-04,218.0,17.0,310.0,52.0
2010-07-11,264.0,69.0,624.0,102.0
2010-07-18,135.0,38.0,674.0,58.0
2010-07-25,164.0,11.0,975.0,82.0
2010-08-01,158.0,34.0,807.0,66.0
2010-08-08,237.0,10.0,743.0,45.0
2010-08-15,206.0,22.0,2126.0,104.0
2010-08-22,135.0,11.0,2898.0,102.0
2010-08-29,264.0,24.0,2628.0,147.0
2010-09-05,250.0,4.0,742.0,44.0
2010-09-12,408.0,11.0,721.0,64.0
2010-09-19,289.0,35.0,1049.0,99.0
2010-09-26,231.0,5.0,227.0,55.0
2010-10-03,32.0,6.0,222.0,11.0
2010-10-10,138.0,2.0,60.0,14.0
2010-10-17,60.0,15.0,223.0,11.0
2010-10-24,95.0,0.0,247.0,31.0
2010-10-31,195.0,6.0,130.0,15.0
2010-11-07,184.0,1.0,125.0,23.0
2010-11-14,255.0,23.0,220.0,38.0
2010-11-21,94.0,29.0,108.0,23.0
2010-11-28,64.0,25.0,234.0,28.0
2010-12-05,73.0,52.0,171.0,26.0
2010-12-12,153.0,0.0,115.0,23.0
2010-12-19,137.0,22.0,173.0,42.0
2010-12-26,146.0,6.0,64.0,17.0
2011-01-02,94.0,16.0,86.0,23.0
2011-01-09,92.0,9.0,244.0,31.0
2011-01-16,54.0,13.0,119.0,32.0
2011-01-23,61.0,14.0,196.0,22.0
2011-01-30,101.0,8.0,94.0,11.0
2011-02-06,90.0,47.0,208.0,50.0
2011-02-13,118.0,36.0,67.0,45.0
2011-02-20,53.0,43.0,181.0,46.0
2011-02-27,98.0,25.0,394.0,47.0
2011-03-06,46.0,31.0,650.0,52.0
2011-03-13,13.0,39.0,243.0,28.0
2011-03-20,70.0,67.0,293.0,65.0
2011-03-27,37.0,82.0,561.0,61.0
2011-04-03,33.0,32.0,331.0,27.0
2011-04-10,107.0,45.0,294.0,68.0
2011-04-17,62.0,45.0,491.0,56.0
2011-04-24,61.0,11.0,156.0,12.0
2011-05-01,69.0,21.0,211.0,18.0
2011-05-08,98.0,22.0,511.0,36.0
2011-05-15,143.0,17.0,337.0,25.0
2011-05-22,201.0,17.0,399.0,52.0
2011-05-29,97.0,21.0,868.0,64.0
2011-06-05,160.0,33.0,915.0,56.0
2011-06-12,119.0,15.0,347.0,38.0
2011-06-19,212.0,33.0,473.0,55.0
2011-06-26,105.0,31.0,478.0,27.0
2011-07-03,95.0,27.0,434.0,41.0
2011-07-10,120.0,29.0,315.0,34.0
2011-07-17,58.0,40.0,224.0,24.0
2011-07-24,158.0,27.0,392.0,35.0
2011-07-31,181.0,28.0,1160.0,72.0
2011-08-07,103.0,35.0,890.0,55.0
2011-08-14,140.0,26.0,463.0,28.0
2011-08-21,78.0,20.0,290.0,26.0
2011-08-28,101.0,20.0,421.0,37.0
2011-09-04,103.0,24.0,484.0,39.0
2011-09-11,126.0,16.0,472.0,31.0
2011-09-18,121.0,27.0,789.0,35.0
2011-09-25,86.0,23.0,731.0,49.0
2011-10-02,65.0,17.0,75.0,10.0
2011-10-09,150.0,83.0,127.0,49.0
2011-10-16,163.0,36.0,111.0,31.0
2011-10-23,327.0,84.0,224.0,84.0
2011-10-30,393.0,54.0,294.0,65.0
2011-11-06,153.0,50.0,312.0,66.0
2011-11-13,379.0,28.0,276.0,63.0
2011-11-20,157.0,11.0,110.0,19.0
2011-11-27,227.0,35.0,101.0,35.0
2011-12-04,331.0,34.0,283.0,55.0
2011-12-11,288.0,16.0,198.0,32.0
2011-12-18,252.0,29.0,427.0,45.0
2011-12-25,212.0,31.0,135.0,47.0
2012-01-01,129.0,52.0,173.0,32.0
2012-01-08,181.0,64.0,310.0,67.0
2012-01-15,218.0,33.0,320.0,49.0
2012-01-22,181.0,35.0,304.0,31.0
2012-01-29,117.0,30.0,90.0,18.0
2012-02-05,185.0,32.0,126.0,21.0
2012-02-12,170.0,28.0,20.0,16.0
2012-02-19,150.0,33.0,166.0,30.0
2012-02-26,220.0,120.0,253.0,80.0
2012-03-04,192.0,53.0,65.0,26.0
2012-03-11,85.0,38.0,15.0,15.0
2012-03-18,90.0,28.0,203.0,21.0
2012-03-25,150.0,33.0,145.0,19.0
2012-04-01,116.0,46.0,409.0,26.0
2012-04-08,249.0,24.0,205.0,18.0
2012-04-15,306.0,33.0,370.0,37.0
2012-04-22,321.0,49.0,199.0,20.0
2012-04-29,556.0,111.0,848.0,108.0
2012-05-06,763.0,69.0,396.0,76.0
2012-05-13,786.0,61.0,712.0,95.0
2012-05-20,442.0,54.0,475.0,69.0
2012-05-27,363.0,34.0,536.0,71.0
2012-06-03,367.0,54.0,483.0,55.0
2012-06-10,315.0,55.0,241.0,50.0
2012-06-17,393.0,65.0,475.0,57.0
2012-06-24,354.0,47.0,797.0,62.0
2012-07-01,247.0,40.0,242.0,49.0
2012-07-08,412.0,56.0,922.0,70.0
2012-07-15,604.0,71.0,906.0,108.0
2012-07-22,725.0,54.0,1476.0,106.0
2012-07-29,528.0,34.0,1566.0,101.0
2012-08-05,369.0,57.0,1349.0,108.0
2012-08-12,437.0,44.0,852.0,80.0
2012-08-19,490.0,78.0,1601.0,112.0
2012-08-26,399.0,32.0,1227.0,66.0
2012-09-02,550.0,51.0,1220.0,120.0
2012-09-09,564.0,57.0,1436.0,90.0
2012-09-16,482.0,82.0,1276.0,94.0
2012-09-23,403.0,54.0,1693.0,103.0
2012-09-30,120.0,32.0,580.0,37.0
2012-10-07,203.0,18.0,1766.0,56.0
2012-10-14,198.0,28.0,988.0,48.0
2012-10-21,79.0,12.0,600.0,23.0
2012-10-28,57.0,14.0,383.0,20.0
2012-11-04,171.0,16.0,318.0,19.0
2012-11-11,127.0,12.0,247.0,13.0
2012-11-18,177.0,6.0,465.0,21.0
2012-11-25,305.0,13.0,481.0,31.0
2012-12-02,97.0,20.0,351.0,18.0
2012-12-09,40.0,7.0,209.0,16.0
2012-12-16,156.0,7.0,77.0,15.0
2012-12-23,22.0,7.0,6.0,1.0
2012-12-30,63.0,0.0,11.0,4.0
2013-01-06,221.0,9.0,105.0,22.0
