Epi week start date,Whooping cough,Rabies,Salmonellosis,E. coli infection
2010-01-03,1.0,3.0,52.0,2.0
2010-01-10,2.0,4.0,260.0,14.0
2010-01-17,53.0,4.0,75.0,15.0
2010-01-24,13.0,46.0,435.0,26.0
2010-01-31,4.0,27.0,177.0,7.0
2010-02-07,6.0,37.0,217.0,13.0
2010-02-14,11.0,30.0,286.0,23.0
2010-02-21,9.0,11.0,549.0,34.0
2010-02-28,19.0,3.0,786.0,27.0
2010-03-07,14.0,6.0,1130.0,31.0
2010-03-14,8.0,25.0,583.0,41.0
2010-03-21,24.0,15.0,213.0,18.0
2010-03-28,26.0,19.0,275.0,11.0
2010-04-04,93.0,10.0,81.0,17.0
2010-04-11,42.0,34.0,130.0,15.0
2010-04-18,118.0,17.0,154.0,40.0
2010-04-25,146.0,50.0,63.0,27.0
2010-05-02,202.0,30.0,674.0,70.0
2010-05-09,311.0,20.0,739.0,89.0
2010-05-16,475.0,6.0,549.0,69.0
2010-05-23,160.0,25.0,498.0,27.0
2010-05-30,325.0,13.0,627.0,67.0
2010-06-06,317.0,13.0,168.0,39.0
2010-06-13,96.0,22.0,733.0,49.0
2010-06-20,403.0,37.0,285.0,46.0
2010-06-27,258.0,21.0,594.0,70.0
2010-07-04,212.0,18.0,328.0,60.0
2010-07-11,310.0,64.0,622.0,95.0
2010-07-18,136.0,37.0,669.0,66.0
2010-07-25,154.0,22.0,983.0,71.0
2010-08-01,181.0,33.0,768.0,57.0
2010-08-08,205.0,12.0,691.0,50.0
2010-08-15,240.0,27.0,2178.0,103.0
2010-08-22,142.0,21.0,2885.0,97.0
2010-08-29,217.0,16.0,2578.0,129.0
2010-09-05,243.0,5.0,751.0,53.0
2010-09-12,413.0,16.0,738.0,68.0
2010-09-19,294.0,15.0,1037.0,100.0
2010-09-26,244.0,4.0,210.0,41.0
2010-10-03,26.0,15.0,201.0,10.0
2010-10-10,123.0,5.0,48.0,12.0
2010-10-17,62.0,24.0,201.0,14.0
2010-10-24,88.0,2.0,235.0,17.0
2010-10-31,188.0,7.0,109.0,14.0
2010-11-07,224.0,2.0,138.0,29.0
2010-11-14,225.0,18.0,190.0,38.0
2010-11-21,90.0,34.0,104.0,37.0
2010-11-28,70.0,40.0,233.0,20.0
2010-12-05,66.0,39.0,171.0,34.0
2010-12-12,142.0,2.0,111.0,11.0
2010-12-19,149.0,16.0,160.0,49.0
2010-12-26,135.0,7.0,83.0,28.0
2011-01-02,85.0,10.0,95.0,27.0
2011-01-09,76.0,7.0,245.0,38.0
2011-01-16,55.0,18.0,105.0,25.0
2011-01-23,68.0,22.0,193.0,19.0
2011-01-30,65.0,19.0,110.0,19.0
2011-02-06,111.0,37.0,222.0,33.0
2011-02-13,97.0,48.0,72.0,46.0
2011-02-20,55.0,50.0,203.0,40.0
2011-02-27,78.0,30.0,423.0,42.0
2011-03-06,47.0,48.0,646.0,47.0
2011-03-13,18.0,36.0,245.0,34.0
2011-03-20,70.0,61.0,275.0,56.0
2011-03-27,44.0,83.0,525.0,58.0
2011-04-03,31.0,30.0,306.0,24.0
2011-04-10,109.0,37.0,297.0,52.0
2011-04-17,75.0,54.0,506.0,55.0
2011-04-24,55.0,9.0,152.0,14.0
2011-05-01,74.0,9.0,217.0,27.0
2011-05-08,117.0,20.0,561.0,33.0
2011-05-15,141.0,20.0,356.0,20.0
2011-05-22,222.0,16.0,437.0,34.0
2011-05-29,99.0,13.0,871.0,50.0
2011-06-05,141.0,39.0,877.0,58.0
2011-06-12,119.0,15.0,308.0,33.0
2011-06-19,210.0,30.0,506.0,48.0
2011-06-26,82.0,26.0,472.0,24.0
2011-07-03,108.0,27.0,449.0,36.0
2011-07-10,138.0,26.0,243.0,41.0
2011-07-17,55.0,34.0,272.0,32.0
2011-07-24,146.0,24.0,428.0,29.0
2011-07-31,151.0,25.0,1140.0,72.0
2011-08-07,109.0,35.0,881.0,68.0
2011-08-14,146.0,31.0,440.0,41.0
2011-08-21,99.0,26.0,295.0,19.0
2011-08-28,115.0,29.0,436.0,40.0
2011-09-04,108.0,29.0,537.0,32.0
2011-09-11,101.0,16.0,547.0,27.0
2011-09-18,117.0,25.0,804.0,45.0
2011-09-25,88.0,16.0,749.0,40.0
