Epi week start date,Whooping cough,Rabies,Salmonellosis,E. coli infection
2010-01-03,9.0,5.0,45.0,1.0
2010-01-10,2.0,3.0,242.0,10.0
2010-01-17,41.0,5.0,85.0,25.0
2010-01-24,13.0,40.0,371.0,31.0
2010-01-31,3.0,22.0,154.0,10.0
2010-02-07,5.0,25.0,192.0,3.0
2010-02-14,16.0,18.0,265.0,33.0
2010-02-21,6.0,7.0,522.0,16.0
2010-02-28,7.0,5.0,761.0,20.0
2010-03-07,23.0,6.0,1023.0,33.0
2010-03-14,11.0,36.0,552.0,37.0
2010-03-21,29.0,18.0,239.0,16.0
2010-03-28,17.0,23.0,260.0,12.0
2010-04-04,97.0,12.0,88.0,17.0
2010-04-11,43.0,40.0,140.0,16.0
2010-04-18,122.0,15.0,120.0,31.0
2010-04-25,141.0,53.0,60.0,28.0
2010-05-02,258.0,41.0,640.0,55.0
2010-05-09,316.0,13.0,754.0,91.0
2010-05-16,479.0,5.0,505.0,56.0
2010-05-23,150.0,30.0,427.0,25.0
2010-05-30,322.0,10.0,626.0,75.0
2010-06-06,232.0,18.0,193.0,49.0
2010-06-13,117.0,20.0,671.0,69.0
2010-06-20,414.0,31.0,301.0,71.0
2010-06-27,232.0,14.0,612.0,63.0
2010-07-04,200.0,11.0,310.0,48.0
2010-07-11,277.0,70.0,594.0,84.0
2010-07-18,153.0,30.0,620.0,77.0
2010-07-25,154.0,23.0,943.0,73.0
2010-08-01,184.0,27.0,798.0,57.0
2010-08-08,198.0,14.0,723.0,45.0
2010-08-15,223.0,30.0,2168.0,112.0
2010-08-22,144.0,15.0,2692.0,84.0
2010-08-29,216.0,21.0,2496.0,142.0
2010-09-05,262.0,0.0,761.0,41.0
2010-09-12,400.0,12.0,706.0,79.0
2010-09-19,276.0,30.0,996.0,103.0
2010-09-26,228.0,13.0,193.0,32.0
2010-10-03,38.0,13.0,211.0,13.0
2010-10-10,141.0,8.0,44.0,13.0
2010-10-17,46.0,33.0,197.0,14.0
2010-10-24,98.0,0.0,264.0,21.0
2010-10-31,201.0,11.0,126.0,22.0
2010-11-07,198.0,6.0,155.0,15.0
2010-11-14,237.0,13.0,226.0,36.0
2010-11-21,105.0,42.0,96.0,27.0
2010-11-28,68.0,32.0,239.0,23.0
2010-12-05,68.0,31.0,136.0,25.0
2010-12-12,140.0,4.0,108.0,17.0
2010-12-19,151.0,19.0,185.0,25.0
2010-12-26,158.0,4.0,72.0,23.0
2011-01-02,83.0,17.0,115.0,25.0
2011-01-09,97.0,4.0,221.0,28.0
2011-01-16,57.0,19.0,97.0,31.0
2011-01-23,67.0,11.0,155.0,30.0
2011-01-30,68.0,9.0,108.0,15.0
2011-02-06,96.0,25.0,206.0,44.0
2011-02-13,95.0,38.0,66.0,37.0
2011-02-20,51.0,52.0,197.0,43.0
2011-02-27,74.0,31.0,429.0,41.0
2011-03-06,50.0,38.0,633.0,35.0
2011-03-13,21.0,50.0,243.0,22.0
2011-03-20,60.0,70.0,294.0,79.0
2011-03-27,38.0,83.0,524.0,71.0
2011-04-03,37.0,31.0,308.0,32.0
2011-04-10,107.0,43.0,280.0,55.0
2011-04-17,75.0,44.0,465.0,55.0
2011-04-24,55.0,10.0,152.0,10.0
2011-05-01,65.0,16.0,181.0,16.0
2011-05-08,108.0,21.0,554.0,40.0
2011-05-15,118.0,17.0,326.0,29.0
2011-05-22,197.0,21.0,403.0,41.0
2011-05-29,88.0,11.0,834.0,61.0
2011-06-05,132.0,33.0,887.0,58.0
2011-06-12,139.0,15.0,322.0,32.0
2011-06-19,231.0,24.0,512.0,55.0
2011-06-26,78.0,29.0,417.0,33.0
2011-07-03,123.0,37.0,406.0,43.0
2011-07-10,133.0,25.0,281.0,28.0
2011-07-17,48.0,21.0,230.0,21.0
2011-07-24,156.0,24.0,374.0,28.0
2011-07-31,167.0,33.0,1218.0,77.0
2011-08-07,139.0,43.0,808.0,63.0
2011-08-14,124.0,25.0,490.0,36.0
2011-08-21,109.0,26.0,302.0,25.0
2011-08-28,80.0,14.0,401.0,35.0
2011-09-04,116.0,26.0,520.0,36.0
2011-09-11,109.0,16.0,492.0,32.0
2011-09-18,103.0,22.0,763.0,42.0
2011-09-25,95.0,19.0,701.0,33.0
2011-10-02,65.0,17.0,67.0,7.0
2011-10-09,125.0,70.0,127.0,44.0
2011-10-16,159.0,45.0,131.0,19.0
2011-10-23,327.0,70.0,188.0,60.0
2011-10-30,341.0,60.0,307.0,83.0
2011-11-06,178.0,50.0,304.0,67.0
2011-11-13,348.0,27.0,252.0,51.0
2011-11-20,139.0,7.0,104.0,25.0
2011-11-27,232.0,39.0,108.0,30.0
2011-12-04,325.0,25.0,245.0,54.0
2011-12-11,322.0,18.0,197.0,39.0
2011-12-18,184.0,33.0,430.0,55.0
2011-12-25,233.0,40.0,144.0,46.0
2012-01-01,118.0,78.0,151.0,35.0
2012-01-08,205.0,63.0,313.0,54.0
2012-01-15,200.0,42.0,349.0,45.0
2012-01-22,176.0,30.0,293.0,34.0
2012-01-29,120.0,41.0,80.0,11.0
2012-02-05,171.0,23.0,119.0,16.0
2012-02-12,160.0,28.0,33.0,14.0
2012-02-19,164.0,36.0,166.0,25.0
2012-02-26,226.0,98.0,307.0,66.0
2012-03-04,181.0,45.0,64.0,26.0
2012-03-11,120.0,33.0,22.0,10.0
2012-03-18,88.0,32.0,196.0,7.0
2012-03-25,184.0,35.0,144.0,20.0
2012-04-01,111.0,43.0,410.0,21.0
2012-04-08,221.0,23.0,202.0,30.0
2012-04-15,332.0,30.0,348.0,25.0
2012-04-22,341.0,59.0,177.0,36.0
2012-04-29,552.0,82.0,790.0,103.0
2012-05-06,673.0,57.0,404.0,66.0
2012-05-13,765.0,83.0,653.0,88.0
2012-05-20,409.0,56.0,446.0,61.0
2012-05-27,337.0,20.0,497.0,54.0
2012-06-03,385.0,44.0,442.0,64.0
