Epi week start date,Whooping cough,Rabies,Salmonellosis,E. coli infection
2010-01-03,1.0,4.0,51.0,2.0
2010-01-10,1.0,6.0,230.0,11.0
2010-01-17,48.0,9.0,98.0,29.0
2010-01-24,24.0,50.0,353.0,21.0
2010-01-31,4.0,29.0,147.0,9.0
2010-02-07,6.0,29.0,201.0,5.0
2010-02-14,9.0,21.0,289.0,25.0
2010-02-21,7.0,5.0,499.0,19.0
2010-02-28,15.0,5.0,764.0,25.0
2010-03-07,25.0,5.0,1061.0,32.0
2010-03-14,3.0,31.0,519.0,42.0
2010-03-21,39.0,15.0,227.0,11.0
2010-03-28,14.0,21.0,273.0,8.0
2010-04-04,82.0,12.0,94.0,22.0
2010-04-11,40.0,41.0,158.0,16.0
2010-04-18,97.0,14.0,164.0,33.0
2010-04-25,124.0,37.0,65.0,31.0
2010-05-02,208.0,32.0,611.0,66.0
2010-05-09,297.0,8.0,761.0,93.0
2010-05-16,426.0,3.0,517.0,60.0
2010-05-23,164.0,15.0,466.0,35.0
2010-05-30,328.0,13.0,584.0,52.0
2010-06-06,276.0,14.0,177.0,32.0
2010-06-13,80.0,21.0,680.0,58.0
2010-06-20,379.0,35.0,284.0,66.0
2010-06-27,227.0,14.0,561.0,76.0
2010-07-04,201.0,16.0,278.0,38.0
2010-07-11,263.0,66.0,611.0,100.0
2010-07-18,151.0,29.0,603.0,74.0
2010-07-25,163.0,24.0,954.0,79.0
2010-08-01,167.0,31.0,766.0,60.0
2010-08-08,229.0,18.0,699.0,42.0
2010-08-15,187.0,29.0,2101.0,105.0
2010-08-22,145.0,19.0,2654.0,106.0
2010-08-29,197.0,16.0,2495.0,151.0
2010-09-05,242.0,4.0,735.0,56.0
2010-09-12,357.0,12.0,714.0,84.0
2010-09-19,288.0,19.0,993.0,101.0
2010-09-26,254.0,8.0,179.0,34.0
2010-10-03,37.0,16.0,216.0,12.0
2010-10-10,130.0,7.0,41.0,14.0
2010-10-17,52.0,20.0,201.0,17.0
2010-10-24,98.0,0.0,244.0,19.0
2010-10-31,207.0,4.0,113.0,20.0
2010-11-07,196.0,4.0,138.0,17.0
2010-11-14,218.0,17.0,214.0,31.0
2010-11-21,129.0,34.0,119.0,21.0
2010-11-28,70.0,28.0,237.0,26.0
2010-12-05,63.0,31.0,149.0,37.0
2010-12-12,149.0,1.0,106.0,14.0
2010-12-19,168.0,20.0,185.0,36.0
2010-12-26,121.0,3.0,105.0,16.0
2011-01-02,73.0,16.0,76.0,27.0
2011-01-09,75.0,9.0,215.0,31.0
2011-01-16,64.0,17.0,102.0,30.0
2011-01-23,60.0,18.0,175.0,22.0
2011-01-30,83.0,8.0,77.0,18.0
2011-02-06,96.0,34.0,195.0,36.0
2011-02-13,82.0,46.0,62.0,34.0
2011-02-20,68.0,45.0,166.0,25.0
2011-02-27,69.0,30.0,401.0,43.0
2011-03-06,59.0,46.0,607.0,45.0
2011-03-13,29.0,42.0,224.0,39.0
2011-03-20,67.0,50.0,257.0,49.0
2011-03-27,29.0,65.0,512.0,56.0
2011-04-03,27.0,39.0,332.0,24.0
2011-04-10,113.0,34.0,296.0,49.0
2011-04-17,54.0,43.0,509.0,56.0
2011-04-24,46.0,11.0,152.0,8.0
2011-05-01,72.0,16.0,223.0,14.0
2011-05-08,103.0,19.0,552.0,27.0
2011-05-15,151.0,13.0,347.0,24.0
2011-05-22,181.0,25.0,387.0,51.0
2011-05-29,84.0,5.0,764.0,54.0
2011-06-05,140.0,38.0,778.0,71.0
2011-06-12,113.0,17.0,335.0,34.0
2011-06-19,219.0,29.0,481.0,52.0
2011-06-26,76.0,28.0,429.0,34.0
2011-07-03,112.0,28.0,436.0,40.0
2011-07-10,106.0,32.0,246.0,46.0
2011-07-17,51.0,32.0,218.0,15.0
2011-07-24,153.0,27.0,375.0,30.0
2011-07-31,153.0,28.0,1165.0,70.0
2011-08-07,108.0,40.0,844.0,57.0
2011-08-14,125.0,22.0,430.0,44.0
2011-08-21,116.0,23.0,303.0,26.0
2011-08-28,110.0,33.0,395.0,48.0
2011-09-04,115.0,19.0,507.0,51.0
2011-09-11,122.0,23.0,488.0,24.0
2011-09-18,117.0,25.0,759.0,49.0
2011-09-25,88.0,15.0,722.0,43.0
2011-10-02,55.0,14.0,76.0,7.0
2011-10-09,137.0,76.0,121.0,36.0
2011-10-16,150.0,39.0,131.0,27.0
2011-10-23,303.0,75.0,210.0,71.0
2011-10-30,334.0,65.0,319.0,57.0
2011-11-06,170.0,46.0,279.0,34.0
2011-11-13,375.0,21.0,233.0,68.0
2011-11-20,162.0,17.0,107.0,23.0
2011-11-27,224.0,45.0,88.0,40.0
2011-12-04,311.0,26.0,300.0,51.0
2011-12-11,316.0,18.0,201.0,20.0
2011-12-18,211.0,30.0,457.0,44.0
2011-12-25,183.0,36.0,140.0,48.0
2012-01-01,132.0,60.0,151.0,29.0
2012-01-08,195.0,45.0,331.0,57.0
2012-01-15,179.0,35.0,300.0,53.0
2012-01-22,192.0,38.0,266.0,42.0
2012-01-29,120.0,22.0,74.0,12.0
2012-02-05,157.0,31.0,116.0,20.0
2012-02-12,146.0,19.0,22.0,16.0
2012-02-19,154.0,31.0,151.0,26.0
2012-02-26,214.0,103.0,249.0,69.0
2012-03-04,194.0,48.0,55.0,20.0
2012-03-11,97.0,29.0,15.0,19.0
2012-03-18,90.0,26.0,196.0,8.0
2012-03-25,181.0,37.0,163.0,15.0
2012-04-01,136.0,28.0,387.0,19.0
2012-04-08,232.0,11.0,209.0,34.0
