Epi week start date,Whooping cough,Rabies,Salmonellosis,E. coli infection
2010-01-03,7.0,6.0,61.0,2.0
2010-01-10,1.0,7.0,242.0,12.0
2010-01-17,54.0,6.0,105.0,17.0
2010-01-24,12.0,50.0,405.0,21.0
2010-01-31,2.0,24.0,190.0,8.0
2010-02-07,5.0,20.0,238.0,9.0
2010-02-14,8.0,25.0,322.0,22.0
2010-02-21,4.0,9.0,594.0,25.0
2010-02-28,11.0,2.0,894.0,28.0
2010-03-07,17.0,5.0,1224.0,35.0
2010-03-14,17.0,26.0,619.0,35.0
2010-03-21,33.0,25.0,252.0,13.0
2010-03-28,16.0,25.0,297.0,4.0
2010-04-04,86.0,12.0,106.0,22.0
2010-04-11,47.0,37.0,146.0,24.0
2010-04-18,98.0,20.0,149.0,35.0
2010-04-25,129.0,38.0,66.0,13.0
2010-05-02,210.0,36.0,773.0,83.0
2010-05-09,343.0,13.0,830.0,79.0
2010-05-16,446.0,3.0,589.0,52.0
2010-05-23,156.0,17.0,554.0,43.0
2010-05-30,321.0,14.0,739.0,88.0
2010-06-06,278.0,19.0,201.0,33.0
2010-06-13,95.0,25.0,743.0,65.0
2010-06-20,384.0,24.0,328.0,75.0
2010-06-27,292.0,17.0,650.0,75.0
2010-07-04,183.0,10.0,339.0,42.0
2010-07-11,294.0,61.0,759.0,110.0
2010-07-18,153.0,33.0,750.0,80.0
2010-07-25,174.0,22.0,1141.0,70.0
2010-08-01,165.0,33.0,890.0,56.0
2010-08-08,203.0,15.0,813.0,49.0
2010-08-15,223.0,21.0,2482.0,111.0
2010-08-22,130.0,14.0,3189.0,99.0
2010-08-29,211.0,23.0,2824.0,131.0
2010-09-05,231.0,3.0,884.0,44.0
2010-09-12,358.0,10.0,813.0,100.0
2010-09-19,281.0,38.0,1050.0,96.0
2010-09-26,243.0,6.0,249.0,32.0
2010-10-03,36.0,9.0,242.0,15.0
2010-10-10,153.0,6.0,45.0,17.0
2010-10-17,55.0,17.0,223.0,13.0
2010-10-24,119.0,2.0,282.0,29.0
2010-10-31,226.0,6.0,153.0,19.0
2010-11-07,191.0,2.0,157.0,19.0
2010-11-14,241.0,12.0,236.0,45.0
2010-11-21,123.0,40.0,127.0,32.0
2010-11-28,65.0,31.0,275.0,25.0
2010-12-05,67.0,49.0,171.0,31.0
2010-12-12,156.0,1.0,137.0,18.0
2010-12-19,140.0,18.0,233.0,29.0
2010-12-26,131.0,4.0,80.0,23.0
2011-01-02,75.0,20.0,114.0,15.0
2011-01-09,75.0,9.0,254.0,35.0
2011-01-16,72.0,20.0,124.0,18.0
2011-01-23,74.0,14.0,214.0,31.0
2011-01-30,92.0,12.0,113.0,12.0
2011-02-06,98.0,40.0,230.0,38.0
2011-02-13,101.0,40.0,74.0,47.0
2011-02-20,47.0,55.0,216.0,27.0
2011-02-27,83.0,13.0,492.0,48.0
2011-03-06,54.0,31.0,736.0,48.0
2011-03-13,26.0,35.0,264.0,34.0
2011-03-20,70.0,72.0,304.0,64.0
2011-03-27,53.0,82.0,585.0,75.0
2011-04-03,26.0,34.0,347.0,34.0
2011-04-10,129.0,56.0,346.0,60.0
2011-04-17,76.0,36.0,558.0,61.0
2011-04-24,54.0,12.0,177.0,10.0
2011-05-01,65.0,18.0,247.0,18.0
2011-05-08,121.0,17.0,623.0,39.0
2011-05-15,156.0,15.0,384.0,34.0
2011-05-22,186.0,16.0,485.0,36.0
2011-05-29,90.0,7.0,945.0,45.0
2011-06-05,175.0,31.0,968.0,76.0
2011-06-12,107.0,22.0,374.0,40.0
2011-06-19,237.0,32.0,512.0,52.0
2011-06-26,80.0,23.0,475.0,31.0
2011-07-03,95.0,43.0,475.0,42.0
2011-07-10,123.0,18.0,313.0,36.0
2011-07-17,54.0,38.0,268.0,29.0
