Epi week start date,Whooping cough,Rabies,Salmonellosis,E. coli infection
2010-01-03,3.0,5.0,47.0,2.0
2010-01-10,2.0,5.0,225.0,6.0
2010-01-17,47.0,8.0,75.0,18.0
2010-01-24,23.0,37.0,353.0,29.0
2010-01-31,10.0,32.0,175.0,11.0
2010-02-07,6.0,29.0,201.0,9.0
2010-02-14,10.0,28.0,285.0,21.0
2010-02-21,3.0,8.0,524.0,34.0
2010-02-28,18.0,3.0,753.0,23.0
2010-03-07,23.0,10.0,1085.0,29.0
2010-03-14,13.0,27.0,546.0,35.0
2010-03-21,40.0,15.0,240.0,20.0
2010-03-28,26.0,15.0,280.0,6.0
2010-04-04,96.0,19.0,90.0,18.0
2010-04-11,47.0,50.0,131.0,18.0
2010-04-18,100.0,15.0,161.0,29.0
2010-04-25,137.0,48.0,58.0,21.0
2010-05-02,201.0,36.0,661.0,72.0
2010-05-09,311.0,20.0,750.0,100.0
2010-05-16,440.0,4.0,482.0,56.0
2010-05-23,153.0,21.0,474.0,30.0
2010-05-30,311.0,16.0,670.0,65.0
2010-06-06,256.0,14.0,169.0,33.0
2010-06-13,92.0,25.0,689.0,66.0
2010-06-20,379.0,25.0,300.0,77.0
2010-06-27,221.0,16.0,613.0,60.0
2010-07-04,206.0,16.0,279.0,49.0
2010-07-11,267.0,60.0,607.0,96.0
2010-07-18,153.0,27.0,607.0,50.0
2010-07-25,156.0,22.0,1051.0,65.0
2010-08-01,169.0,24.0,844.0,71.0
2010-08-08,209.0,13.0,736.0,45.0
2010-08-15,189.0,26.0,2238.0,92.0
2010-08-22,146.0,13.0,2801.0,90.0
2010-08-29,198.0,16.0,2528.0,140.0
2010-09-05,237.0,5.0,788.0,41.0
2010-09-12,398.0,8.0,691.0,68.0
2010-09-19,280.0,35.0,976.0,101.0
2010-09-26,223.0,10.0,212.0,45.0
2010-10-03,34.0,14.0,253.0,9.0
2010-10-10,106.0,5.0,63.0,8.0
2010-10-17,54.0,21.0,202.0,16.0
2010-10-24,86.0,1.0,234.0,19.0
2010-10-31,199.0,8.0,138.0,12.0
2010-11-07,211.0,5.0,160.0,24.0
2010-11-14,226.0,18.0,193.0,31.0
2010-11-21,71.0,30.0,127.0,25.0
2010-11-28,78.0,28.0,240.0,34.0
2010-12-05,81.0,36.0,158.0,39.0
2010-12-12,129.0,0.0,127.0,7.0
2010-12-19,165.0,26.0,204.0,46.0
2010-12-26,144.0,7.0,75.0,28.0
2011-01-02,78.0,14.0,111.0,14.0
2011-01-09,68.0,7.0,256.0,34.0
2011-01-16,59.0,11.0,112.0,38.0
2011-01-23,80.0,10.0,181.0,14.0
2011-01-30,79.0,11.0,86.0,11.0
2011-02-06,90.0,23.0,215.0,37.0
2011-02-13,96.0,37.0,89.0,47.0
2011-02-20,53.0,48.0,200.0,39.0
2011-02-27,80.0,28.0,410.0,42.0
2011-03-06,55.0,33.0,696.0,27.0
2011-03-13,16.0,32.0,231.0,37.0
2011-03-20,69.0,80.0,288.0,51.0
2011-03-27,44.0,77.0,524.0,48.0
2011-04-03,26.0,20.0,330.0,23.0
2011-04-10,108.0,40.0,289.0,50.0
2011-04-17,56.0,45.0,549.0,63.0
2011-04-24,48.0,11.0,167.0,10.0
2011-05-01,78.0,19.0,237.0,21.0
2011-05-08,95.0,17.0,529.0,43.0
2011-05-15,126.0,16.0,346.0,50.0
2011-05-22,178.0,21.0,427.0,32.0
2011-05-29,79.0,15.0,890.0,54.0
2011-06-05,168.0,28.0,833.0,58.0
2011-06-12,112.0,15.0,337.0,23.0
2011-06-19,193.0,31.0,496.0,50.0
2011-06-26,89.0,29.0,429.0,28.0
2011-07-03,101.0,29.0,434.0,34.0
2011-07-10,107.0,27.0,255.0,44.0
2011-07-17,47.0,30.0,223.0,36.0
2011-07-24,156.0,22.0,351.0,48.0
2011-07-31,168.0,25.0,1173.0,68.0
2011-08-07,116.0,39.0,933.0,64.0
2011-08-14,129.0,32.0,481.0,33.0
2011-08-21,98.0,20.0,304.0,21.0
2011-08-28,106.0,23.0,394.0,37.0
2011-09-04,105.0,24.0,519.0,28.0
2011-09-11,112.0,16.0,467.0,33.0
2011-09-18,114.0,27.0,809.0,42.0
2011-09-25,105.0,18.0,738.0,41.0
2011-10-02,47.0,28.0,84.0,12.0
2011-10-09,101.0,56.0,117.0,43.0
2011-10-16,149.0,49.0,115.0,20.0
2011-10-23,324.0,89.0,239.0,71.0
2011-10-30,370.0,65.0,275.0,60.0
2011-11-06,172.0,58.0,315.0,59.0
2011-11-13,326.0,21.0,303.0,52.0
2011-11-20,148.0,14.0,109.0,30.0
2011-11-27,222.0,46.0,101.0,40.0
2011-12-04,284.0,38.0,313.0,43.0
2011-12-11,288.0,12.0,213.0,28.0
2011-12-18,211.0,27.0,411.0,43.0
2011-12-25,238.0,38.0,155.0,52.0
2012-01-01,127.0,49.0,164.0,39.0
2012-01-08,188.0,59.0,338.0,52.0
2012-01-15,164.0,29.0,324.0,43.0
2012-01-22,188.0,32.0,285.0,41.0
2012-01-29,104.0,32.0,85.0,16.0
2012-02-05,171.0,38.0,123.0,23.0
2012-02-12,161.0,22.0,37.0,13.0
2012-02-19,164.0,44.0,191.0,24.0
2012-02-26,196.0,90.0,283.0,67.0
2012-03-04,148.0,42.0,65.0,34.0
2012-03-11,83.0,29.0,16.0,22.0
2012-03-18,98.0,19.0,197.0,17.0
2012-03-25,141.0,48.0,169.0,27.0
2012-04-01,103.0,42.0,412.0,21.0
